county,year,varname,value_b2
Becker,2019,TotCapacity,1154.84
Becker,2019,AvgCapacity,12.55
Becker,2019,CCCShare,.02
Becker,2019,HRShare,.38
Becker,2019,PublicShare,.13
Becker,2020,Weekly Price,117.46
Becker,2020,TotCapacity,1135.11
Becker,2020,AvgCapacity,12.21
Becker,2020,CCCShare,.02
Becker,2020,HRShare,.37
Becker,2020,PublicShare,.11
Becker,2021,Weekly Price,134.33
Becker,2021,TotCapacity,1173.24
Becker,2021,AvgCapacity,12.75
Becker,2021,CCCShare,.07
Becker,2021,HRShare,.35
Becker,2021,PublicShare,.12
Becker,2022,Weekly Price,128.99
Becker,2022,TotCapacity,1351.71
Becker,2022,AvgCapacity,15.19
Becker,2022,CCCShare,.1
Becker,2022,HRShare,.36
Becker,2022,PublicShare,.1
Beltrami,2012,Weekly Price,104.92
Beltrami,2012,TotCapacity,1726.26
Beltrami,2012,AvgCapacity,13.7
Beltrami,2012,CCCShare,.06
Beltrami,2012,HRShare,0
Beltrami,2012,PublicShare,.05
Beltrami,2013,Weekly Price,107.39
Beltrami,2013,TotCapacity,1735.16
Beltrami,2013,AvgCapacity,13.45
Beltrami,2013,CCCShare,.05
Beltrami,2013,HRShare,.05
Beltrami,2013,PublicShare,.05
Beltrami,2014,Weekly Price,106.81
Beltrami,2014,TotCapacity,2005.71
Beltrami,2014,AvgCapacity,14.03
Beltrami,2014,CCCShare,.06
Beltrami,2014,HRShare,.09
Beltrami,2014,PublicShare,.07
Beltrami,2015,Weekly Price,104.21
Beltrami,2015,TotCapacity,1692.39
Beltrami,2015,AvgCapacity,12.72
Beltrami,2015,CCCShare,.05
Beltrami,2015,HRShare,.09
Beltrami,2015,PublicShare,.08
Beltrami,2016,Weekly Price,111.7
Beltrami,2016,TotCapacity,1583.66
Beltrami,2016,AvgCapacity,13.09
Beltrami,2016,CCCShare,.03
Beltrami,2016,HRShare,.12
Beltrami,2016,PublicShare,.09
Beltrami,2017,Weekly Price,105.1
Beltrami,2017,TotCapacity,1552.02
Beltrami,2017,AvgCapacity,13.04
Beltrami,2017,CCCShare,.03
Beltrami,2017,HRShare,.16
Beltrami,2017,PublicShare,.09
Beltrami,2018,Weekly Price,108.94
Beltrami,2018,TotCapacity,1591.82
Beltrami,2018,AvgCapacity,13.05
Beltrami,2018,CCCShare,.03
Beltrami,2018,HRShare,.17
Beltrami,2018,PublicShare,.09
Beltrami,2019,Weekly Price,110.76
Beltrami,2019,TotCapacity,1611.24
Beltrami,2019,AvgCapacity,14.01
Beltrami,2019,CCCShare,.03
Beltrami,2019,HRShare,.22
Beltrami,2019,PublicShare,.09
Beltrami,2020,Weekly Price,111.57
Beltrami,2020,TotCapacity,1636.94
Beltrami,2020,AvgCapacity,13.42
Beltrami,2020,CCCShare,.03
Beltrami,2020,HRShare,.23
Beltrami,2020,PublicShare,.11
Beltrami,2021,Weekly Price,122.46
Beltrami,2021,TotCapacity,1580.39
Beltrami,2021,AvgCapacity,14.37
Beltrami,2021,CCCShare,.05
Beltrami,2021,HRShare,.25
Beltrami,2021,PublicShare,.12
Beltrami,2022,Weekly Price,130.88
Beltrami,2022,TotCapacity,1497.56
Beltrami,2022,AvgCapacity,13.87
Beltrami,2022,CCCShare,.07
Beltrami,2022,HRShare,.22
Beltrami,2022,PublicShare,.06
Benton,2012,Weekly Price,112.57
Benton,2012,TotCapacity,1765.38
Benton,2012,AvgCapacity,11.03
Benton,2012,CCCShare,.02
Benton,2012,HRShare,0
Benton,2012,PublicShare,.01
Benton,2013,Weekly Price,115.98
Benton,2013,TotCapacity,1912.59
Benton,2013,AvgCapacity,11.38
Benton,2013,CCCShare,.02
Benton,2013,HRShare,.01
Benton,2013,PublicShare,.01
Benton,2014,Weekly Price,113.87
Benton,2014,TotCapacity,1941.98
Benton,2014,AvgCapacity,11.42
Benton,2014,CCCShare,.02
Benton,2014,HRShare,.02
Benton,2014,PublicShare,.02
Benton,2015,Weekly Price,113.12
Benton,2015,TotCapacity,1757.24
Benton,2015,AvgCapacity,11.19
Benton,2015,CCCShare,.03
Benton,2015,HRShare,.03
Benton,2015,PublicShare,.02
Benton,2016,Weekly Price,121.38
Benton,2016,TotCapacity,1836.88
Benton,2016,AvgCapacity,12.5
Benton,2016,CCCShare,.03
Benton,2016,HRShare,.05
Benton,2016,PublicShare,.02
Benton,2017,Weekly Price,117.65
Benton,2017,TotCapacity,1761.77
Benton,2017,AvgCapacity,12.32
Benton,2017,CCCShare,.04
Benton,2017,HRShare,.06
Benton,2017,PublicShare,.03
Benton,2018,Weekly Price,126.71
Benton,2018,TotCapacity,1821.99
Benton,2018,AvgCapacity,12.31
Benton,2018,CCCShare,.03
Benton,2018,HRShare,.07
Benton,2018,PublicShare,.04
Benton,2019,Weekly Price,127.62
Benton,2019,TotCapacity,1808.6
Benton,2019,AvgCapacity,12.92
Benton,2019,CCCShare,.04
Benton,2019,HRShare,.09
Benton,2019,PublicShare,.04
Benton,2020,Weekly Price,130.39
Benton,2020,TotCapacity,1788.3
Benton,2020,AvgCapacity,12.68
Benton,2020,CCCShare,.04
Benton,2020,HRShare,.08
Benton,2020,PublicShare,.04
Benton,2021,Weekly Price,136.53
Benton,2021,TotCapacity,1679.97
Benton,2021,AvgCapacity,12.63
Benton,2021,CCCShare,.05
Benton,2021,HRShare,.08
Benton,2021,PublicShare,.04
Benton,2022,Weekly Price,137.13
Benton,2022,TotCapacity,1700.97
Benton,2022,AvgCapacity,12.69
Benton,2022,CCCShare,.07
Benton,2022,HRShare,.07
Benton,2022,PublicShare,.03
Big Stone,2012,Weekly Price,82.48
Big Stone,2012,TotCapacity,185.73
Big Stone,2012,AvgCapacity,9.779999999999999
Big Stone,2012,CCCShare,0
Big Stone,2012,HRShare,0
Big Stone,2012,PublicShare,.11
Big Stone,2013,Weekly Price,89.36
Big Stone,2013,TotCapacity,196.93
Big Stone,2013,AvgCapacity,9.85
Big Stone,2013,CCCShare,0
Big Stone,2013,HRShare,.1
Big Stone,2013,PublicShare,.1
Big Stone,2014,Weekly Price,87.78
Big Stone,2014,TotCapacity,193.63
Big Stone,2014,AvgCapacity,10.19
Big Stone,2014,CCCShare,0
Big Stone,2014,HRShare,.11
Big Stone,2014,PublicShare,.11
Big Stone,2015,Weekly Price,85.76000000000001
Big Stone,2015,TotCapacity,197.16
Big Stone,2015,AvgCapacity,10.38
Big Stone,2015,CCCShare,0
Big Stone,2015,HRShare,.11
Big Stone,2015,PublicShare,.11
Big Stone,2016,Weekly Price,95.88
Big Stone,2016,TotCapacity,198
Big Stone,2016,AvgCapacity,11
Big Stone,2016,CCCShare,0
Big Stone,2016,HRShare,.17
Big Stone,2016,PublicShare,.17
Big Stone,2017,Weekly Price,85.23999999999999
Big Stone,2017,TotCapacity,182.2
Big Stone,2017,AvgCapacity,9.59
Big Stone,2017,CCCShare,0
Big Stone,2017,HRShare,.11
Big Stone,2017,PublicShare,.11
Big Stone,2018,Weekly Price,89.48
Big Stone,2018,TotCapacity,203.87
Big Stone,2018,AvgCapacity,9.710000000000001
Big Stone,2018,CCCShare,0
Big Stone,2018,HRShare,.1
Big Stone,2018,PublicShare,.1
Big Stone,2019,Weekly Price,91.51000000000001
Big Stone,2019,TotCapacity,215.8
Big Stone,2019,AvgCapacity,10.28
