year,original,orig_gauss_b4_pq34,orig_gauss_b4_FCC_pq12,orig_gauss_b4_FCC_pq3,orig_gauss_b4_pCCC_pq12,orig_gauss_b4_pCCC_pq3,tribal_name,legal_stat,legal_st_1,reservatio,tribal_gov,n_kids_u5,n_fams_u5,state_n_kids_u5,state_n_fams_u5,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_AI_tribal_name,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2022,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,.51162791,.22222222,1.3795455,.86791754,0,0,.51162791,131.80383,195.60718,,15.046326,,1.3278917,.26744977,.59806472,.34602442,.18187934,.19728884,.070160918,206.02438,267.03397,268.21628,8.9497108,1.2590977,1.1749185e-09,.42291179,.28764853,.59792238,.42707723,.1100736,.22687696,.060771573,253.76491,311.44153,320.31583,7.7107048,1.2617077,-.20119825,.47959268,.24278243,.59823847,.24704041,.26957062,.16115496,.081627466,147.72226,205.79477,197.83298,10.619012,1.2555509,.24570918,.35369146,.23990816,.56106758,.30584425,.12088981,.16885473,.050118964,211.27977,288.37915,295.1109,7.2191019,1.2429373,-.13536032,.44643068,0,0,0,0,2.3083115,0,0,0,0,0,0,0,0,0,0,0,0,0,41.694527,189.05568,176.93353,177.68353,213.53082,193.72522,,,,.91666847,41.694527,2.5277829,,,,-.77231753,2.5055623,-.067277074,0,0,0,12,3,3,2,11,10.5,2,9,3,6,5,,6,,0,63,37,30,58,12
2012,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.31765294,.40463844,.46906406,.01133806,.14007305,0,.31765294,84.289467,289.56873,,85.473465,,.69957364,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,.89922535,3.1424339e-08,2.4095839e-18,1.1076642,.31958386,0,.00058657565,0,2.4095839e-18,.21946107,.046352409,0,0,0,0,.89922535,3.1424339e-08,22.62208,140.62482,116.47951,148.43895,458.73788,283.14084,,,,7.5555706,145.58363,19.194483,,,,-.4814454,2.0930665,.51531792,0,.86531538,.0063252929,12,4,6,9,4,6.5,4,2,5,6,7,,9,,30,2,68,57,36,7
2013,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.34370947,.39145112,.51978922,.021195414,.15896872,.0040843426,.33962512,86.805702,172.13013,172.73083,22.677397,1.2615449,.72391993,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,.99976754,6.8759637e-10,2.4095839e-18,1.3092093,.31958386,0,.0015392649,0,2.4095839e-18,.29630557,.096984379,0,.0003798113,0,0,.98037207,6.8759637e-10,31.424301,135.5148,118.47927,158.99384,187.57982,173.06537,158.86115,185.50009,175.16673,7.2500138,31.833399,20.166706,1.1509145,1.3952165,1.2273297,-.26106462,2.1800985,.2295641,0,.84138656,.011554497,12,4,6,7,4,4,4,3,5,4,8,3,6,3,31,4,65,56,37,7
2014,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.3902595,.41102487,.54134607,.022511832,.14228009,.013705315,.37655416,79.499573,148.1498,134.25075,19.902575,1.0005,.80984861,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,0,1.154286,6.9741840e-10,2.4095839e-18,1.3630373,.3195838,0,.0016616812,0,2.4095839e-18,.23630987,.048350912,0,.0007094621,0,0,1.0915009,6.9741840e-10,24.497566,127.37253,114.91376,134.35594,166.63667,150.44658,116.91406,157.26929,136.73659,7.2723355,30.648211,20.172966,.93988693,1.0980365,1.0001273,-.38247725,2.6927142,.077858053,0,.88107646,.012110108,12,3,6,7,4,4,2,5,4,6,4,3,8,3,26,4,70,51,40,10
2015,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.39114362,.41477928,.51044178,.02386608,.11002152,.014589433,.37655416,80.76265,152.89986,139.50928,19.902575,1.0185572,.91020715,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,0,1.1581475,6.9741840e-10,3.2127786e-18,1.3300976,.1561897,0,.0017690869,0,3.2127786e-18,.1783624,.052075565,0,.00072558032,0,0,1.0915009,6.9741840e-10,22.872379,130.01224,118.26787,141.12088,169.27786,153.6067,123.11118,159.33342,142.67281,7.2723355,30.648211,20.172966,.94630831,1.1238258,1.012531,-.52255958,3.303905,.053865455,0,.9044559,.009110162,12,2,5,6,4,4,2,4,4,6,4,2,8,2,22,5,74,49,41,10
2016,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.28479627,.42651027,.34728548,.28442287,.062862605,.28479627,2.1574440e-16,116.35999,178.3354,178.28915,49.412136,2.6332307,.45048183,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,.83518344,5.6114968e-10,1.9825301e-20,.86035222,2.9797061e-06,0,.83337045,5.6114968e-10,1.9825301e-20,.026981788,7.7134459e-08,0,.83518344,5.6114968e-10,0,0,0,67.592056,170.46814,99.508392,175.8513,202.41302,188.07965,175.63914,202.41302,188.07965,32.750069,64.861237,58.722336,2.0662074,2.7198191,2.2361374,-.030710697,1.198854,.22390033,0,.97441882,.0056913579,12,2,2,1,4,1,6,3,2,7,2,4,4,9,18,82,0,36,55,9
2017,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.28025168,.5652656,.3725844,.23831047,.09481325,.24079102,.039460666,200.64024,268.17969,267.99792,59.646263,1.7883052,-.0044700429,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,0,.85459471,4.5509371e-10,1.2444699e-38,.94606489,.023431759,0,.71953183,4.4527168e-10,0,.10338233,9.4447705e-07,0,.731444,4.4527168e-10,0,.12315068,9.8220260e-12,131.46243,207.12466,171.03748,198.0831,276.69537,216.39626,198.07736,276.69537,216.39626,7.5536103,33.055622,20.611153,1.5799356,1.7052635,1.6401092,-.67305595,1.3344829,-.25519335,0,.99066973,.90331507,12,3,5,3,3,1,6,4,7,11,4,7,5,10,25,64,11,41,48,11
2018,.40843585,.60276765,.13329153,.017789247,3.1585873e-11,.083520293,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.15699148,.50280237,.25901327,.018038338,.10601181,.022028368,.13496311,69.348083,155.59093,157.03281,20.08457,1.1633933,.29040232,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,0,.511177,7.1400920e-11,0,.56371993,.013530285,0,.0012597159,0,0,.15728985,1.2950586e-06,0,.0014300337,0,0,.40878618,7.1400920e-11,21.579048,125.63844,54.035088,141.28307,172.04384,155.3996,141.4104,172.04384,156.37979,7.5178905,30.812563,20.443457,1.0705029,1.2090243,1.1989452,-.31898379,1.3336319,.00095061463,0,.95611185,.78703207,12,7,8,5,4,5,5,5,6,4,2,4,8,6,41,7,52,41,47,12
2019,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.63673514,.54800308,.72943944,.026316823,.087642603,.021255102,.61548001,47.880474,158.67735,149.20915,18.53311,1.138744,1.4291065,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,0,1.5684921,2.4734164e-09,0,1.7048813,.066433914,0,.0016886343,0,0,.11228185,9.9629506e-07,0,.0013458105,0,0,1.4709368,2.4734164e-09,17.490065,34.416737,25.93573,148.04788,165.19733,154.82469,132.99548,156.03471,152.46075,7.6869926,27.388945,18.696062,.95555449,1.2435491,1.2170298,-.05496351,3.7394335,.0085379286,0,.99686784,.92000073,12,2,4,5,6,5,2,4,2,1,4,4,6,5,12,4,84,37,48,14
2020,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.61461818,.54841477,.71225983,.02614215,.092256017,.020756559,.59386164,55.947235,160.1778,150.50098,19.225414,1.1653986,1.3330255,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,0,1.491851,2.5854892e-09,5.5306623e-29,1.6138716,.061493564,0,.0016752849,0,6.3516282e-30,.096401148,9.4310712e-07,0,.0013142326,2.5258910e-34,0,1.3965248,2.5854892e-09,17.501513,121.04549,28.055605,149.79521,165.77827,156.60329,133.98892,157.74945,154.94662,10.711816,27.388945,18.696083,.94951659,1.267713,1.2476611,-.22981352,3.5229564,.0003295342,0,.99710631,.92439258,12,3,5,5,4,5,3,5,3,4,3,3,7,4,13,4,83,35,48,16
2021,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.4450005,.52876186,.55212355,.014856643,.10744543,.015179062,.42982143,68.317406,201.39915,186.53996,17.315119,1.3542322,.81184542,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,9.2420166e-10,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,-.20208576,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,.24678306,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,-.12613159,.42891139,5.0893854e-35,1.1114709,3.3445390e-13,3.2590702e-08,1.1808192,.21388429,0,.00014335135,0,1.1696551e-15,.13698751,.0044773929,0,.00014335378,3.0540642e-32,0,1.0564405,3.3445390e-13,16.59058,130.52992,27.518085,188.10037,223.13559,192.2623,174.51907,205.55716,187.1629,7.6275597,25.286657,17.934624,1.2678263,1.4920748,1.3585252,-.30007359,2.3968778,-.012210418,2.3795041e-34,.999982,.93583846,12,4,7,5,3,4,4,6,5,6,5,4,8,7,19,3,78,33,52,16
2022,,,,,,,Fond du Lac,Fond du Lac Reservation,86,R,Fond du Lac Band of Lake Superior Chippewa,278.3241,216.09239,349261,259503,.51529127,.54835856,.62515366,.38095263,.10983194,.38092217,.13436908,232.60109,388.02551,349.48843,18.287298,2.4960845,.2304603,.26744977,.59806472,.34602442,.18187934,.19728884,.070160918,206.02438,267.03397,268.21628,8.9497108,1.2590977,1.1749185e-09,.42291179,.28764853,.59792238,.42707723,.1100736,.22687696,.060771573,253.76491,311.44153,320.31583,7.7107048,1.2617077,-.20119825,.47959268,.24278243,.59823847,.24704041,.26957062,.16115496,.081627466,147.72226,205.79477,197.83298,10.619012,1.2555509,.24570918,.35369146,.23990816,.56106758,.30584425,.12088981,.16885473,.050118964,211.27977,288.37915,295.1109,7.2191019,1.2429373,-.13536032,.44643068,0,1.572194,5.8699057e-10,.0001079042,1.6727279,.20120639,0,1.160447,4.9073762e-10,1.5670933e-09,.15133239,.012074249,0,1.1606747,4.9073762e-10,0,.41151929,9.6252971e-11,132.14854,321.8631,270.60007,378.99765,425.03009,416.12732,285.4393,423.09955,405.28442,6.9660745,29.416725,17.963818,2.2240791,2.8913445,2.7836339,-1.2827353,2.3398545,-.35444263,0,.99391627,.93131578,12,2,5,4,4,1,6,4,6,10,10,10,7,10,18,61,21,30,58,12
2012,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,.97368419,.29859337,2.2009373,1.2272531,0,0,.97368419,43.193771,333.33459,,19.787077,,3.4311953,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,1.5364591,1.3845935,0,3.7615395,2.8412724,0,2.2250805,1.4566787,0,0,0,0,0,0,0,1.5364591,1.3845935,38.586319,50.777882,40.217117,65.839493,864.10254,70.061722,,,,3.1111174,50.777882,5.4722333,,,,.39542335,5.5603151,4.3378472,0,.48731458,.4084655,12,2,2,1,11.5,6.5,2,6,1,1,9,,4,,0,56,44,57,36,7
2013,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,1.2272531,1.2272531,0,0,0,88.431557,88.322273,503.59351,316.80618,5.9543891,.86760318,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,0,0,0,1.9191549,1.7626045,0,1.9191549,1.7626045,0,0,0,0,0,0,0,0,0,71.78521,119.55758,73.951874,71.78521,119.22974,73.951874,485.92679,536.14911,488.70459,299.13947,349.36182,301.91727,4.4844427,6.8078728,6.5708518,-.16010468,1.4412968,1.3216175,0,0,0,12,11,3,1,12,9.5,11,11,3,5,2,12,12,12,0,100,0,56,37,7
2014,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,1.2272531,1.2272531,0,0,0,142.84483,142.80914,472.93225,106.81503,3.359597,.45884168,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,0,0,0,0,1.9191549,1.7626045,0,1.9191549,1.7626045,0,0,0,0,0,0,0,0,0,126.27208,173.82367,128.43875,126.27208,173.71661,128.43875,455.25629,505.47861,458.06186,89.139069,139.36139,91.944626,2.9066727,3.6275783,3.5445399,-.66247356,1.0856378,.9533608,0,0,0,12,11.5,2,1,12,9.5,11.5,11.5,6,9,3,12,12,12,0,100,0,51,40,10
2015,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,1.2441521,1.2441521,0,0,0,82.721321,82.592628,465.03778,106.81503,5.9145942,.83699906,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,0,0,0,0,1.9455811,1.786875,0,1.9455811,1.786875,0,0,0,0,0,0,0,0,0,66.055565,113.88616,68.222229,66.055565,113.5001,68.222229,447.36182,497.58414,450.16739,89.139069,139.36139,91.944626,4.3713818,6.8149805,6.5574203,-.42946169,1.5457461,1.3947127,0,0,0,12,11.5,2,1,12,10,11.5,11.5,5,7,2,12,12,12,0,100,0,49,41,10
2016,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,0,0,0,0,0,316.81143,550.4859,550.4859,316.80618,.7032668,-1.0034289,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.14691,349.36331,301.92407,532.82843,583.02301,535.60626,532.82843,583.02301,535.60626,299.13947,349.36182,301.91727,.65512335,.7357347,.71894234,-1.1465259,-.9257763,-.93798459,0,0,0,12,10,12,9.5,11.5,9.5,9.5,10,12,12,12,10,12,2,,,,36,55,9
2017,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,.73635191,.73635191,0,0,0,88.204193,88.204193,783.5224,628.75122,8.8894348,.79284954,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,0,0,0,0,1.151493,1.0575627,0,1.151493,1.0575627,0,0,0,0,0,0,0,0,0,87.120857,89.287521,88.204193,87.120857,89.287521,88.204193,747.31073,819.73407,783.5224,627.36237,630.14014,628.75122,8.3697109,9.4091597,8.8894348,.74955523,.83614379,.79284954,0,0,0,12,11.5,3,2,12,11,11.5,11.5,3,3,1,12,12,12,0,100,0,41,48,11
2018,.63546425,0,,0,1.151493,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,.73635191,.73635191,0,0,0,100.0141,99.888565,249.29398,106.81503,2.5585475,.32902995,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,0,0,0,0,1.151493,1.0575627,0,1.151493,1.0575627,0,0,0,0,0,0,0,0,0,83.351494,131.17264,85.518158,83.351494,130.79604,85.518158,231.62727,281.84961,234.40506,89.139069,139.36139,91.944626,2.1548789,2.8122478,2.7085156,-.49798903,.79118842,.69389045,0,0,0,12,11.5,3,2,12,11,11.5,11.5,5,7,1,10,12,12,0,100,0,41,47,12
2019,,,,,,,Grand Portage,Grand Portage Reservation,86,R,Grand Portage Band of Lake Superior Chippewa,9.1633778,5.9481573,349261,259503,0,0,.8624602,.8624602,0,0,0,100.00513,100.00513,,,,.35881284,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,0,0,0,0,1.3453361,1.2420446,0,1.3453361,1.2420446,0,0,0,0,0,0,0,0,0,83.486572,130.90334,85.625465,83.486572,130.90334,85.625465,,,,,,,,,,-.52671868,.85085952,.7522977,0,0,0,12,11,3,2,12,10,11,11,6,7,2,,,,0,100,0,37,48,14
