year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2015,1838,1276,Houston,.7427575,.070462488,0,.107989,105.73045,177.83044,181.55516,13.105084,1.5234749,87,26,54,79.5,33,46,47,55,43,63
2016,1838,1276,Houston,.78635323,.099953458,.28802973,.14302129,112.37594,180.11836,143.61385,36.94009,1.1625912,87,11,45,1,23,45,19,13,72,22
2017,1838,1276,Houston,.75862002,.16124201,.13286659,.1731557,101.71804,234.38942,123.85091,36.647446,.97792029,87,11,27,19,15,35,36,11,58,9
2012,2630,2129,Hubbard,.46167991,.047522992,,.053362735,109.88496,322.03247,,96.489723,,87,68,59,,42,54,66,,65,
2013,2630,2129,Hubbard,.45763382,.047522992,.028926032,.053381521,112.5621,153.89819,179.68593,24.757656,1.5290512,87,75,60,22,40,50,24,29,60,38
2014,2630,2129,Hubbard,.49835253,.063441657,.067339055,.018747209,115.15552,186.56354,161.76724,36.03154,1.352278,87,79,61,21,85,56,55,26,84,29
2015,2630,2129,Hubbard,.49244848,.066812284,.10051905,.037309516,116.28797,175.24783,155.59152,27.925215,1.289387,87,71,60,13,75,58,44,34,84,37
2016,2630,2129,Hubbard,.46512946,.071207188,.17002784,.018684493,123.95102,183.41051,133.94514,99.125771,.9936071,87,69,54,6,87,55,23,9,85,3
2017,2630,2129,Hubbard,.46271718,.083741523,.17044973,.018836696,121.28301,321.20865,235.47546,183.05605,1.87578,87,68,50,11,87,62,61,67,85,76
2012,3387,2386,Isanti,.34667858,.18891539,,4.4924648e-36,146.13931,189.1738,,108.3895,,87,83,13,,87,77,15,,71,
2013,3387,2386,Isanti,.38441086,.20721923,.029735187,4.4909699e-36,148.03085,177.79764,196.77179,49.481438,1.3655704,87,81,12,20,86,77,54,38,79,27
2014,3387,2386,Isanti,.38896462,.19241469,.054251473,.031113615,144.3208,185.53587,179.0849,13.223385,1.1910751,87,85,15,24,78,77,53,39,44,17
2015,3387,2386,Isanti,.38654545,.1931168,.065765448,.031138645,148.99031,198.05133,187.93495,13.22278,1.2278982,87,84,12,25,80,78,61,58,44,26
2016,3387,2386,Isanti,.35014331,.17303978,.094038151,.031149067,152.45477,199.01479,183.01414,18.866102,1.1745999,87,86,19,23,83,77,39,44,46,25
2017,3387,2386,Isanti,.34291443,.18060245,.0985642,.024621833,144.50204,220.47928,172.82559,21.697001,1.1090168,87,86,23,26,84,77,28,43,38,20
2012,2374,1820,Itasca,.48622096,.067999855,,.14189972,99.425484,245.47566,,36.567158,,87,62,55,,11,28,46,,25,
2013,2374,1820,Itasca,.54676443,.067999855,.031017816,.18319091,99.439812,153.90729,150.87552,18.235582,1.2161947,87,56,56,19,8,19,25,18,38,17
2014,2374,1820,Itasca,.63263333,.10841866,.10530844,.23503971,95.24958,169.88788,161.83707,15.124947,1.3217038,87,45,46,14,6,22,41,27,55,27
2015,2374,1820,Itasca,.6527878,.084066108,.10896717,.26527414,88.289116,134.22829,144.63264,14.793787,1.1659129,87,39,47,12,4,10,10,25,55,19
2016,2374,1820,Itasca,.50604129,.090686478,.13392869,.14844689,97.756653,141.54359,149.0388,23.173246,1.1177948,87,60,48,13,21,20,5,19,55,17
2017,2374,1820,Itasca,.50171256,.093616836,.16615626,.15821563,97.86734,198.60582,135.94119,56.147766,1.0369939,87,57,49,12,21,29,14,21,72,14
2012,1053,893,Jackson,.76253784,.17294072,,.041173864,107.42622,273.67996,,112.18089,,87,18,16,,53,44,55,,72,
2013,1053,893,Jackson,.79353064,.17294072,0,.03294044,113.53709,157.89581,297.33813,24.012346,2.5089567,87,18,16,70.5,56,53,33,80,58,80
2014,1053,893,Jackson,.88672173,.17294072,0,.13314477,100.51467,135.59149,238.27574,15.65177,2.0989506,87,13,21,76.5,23,33,11,66,59,75
2015,1053,893,Jackson,.75057089,.17318882,0,.13322835,95.891304,127.56719,161.30974,15.487998,1.4447695,87,23,20,79.5,24,24,6,40,58,55
2016,1053,893,Jackson,.77340943,.15702213,.031944443,.1675344,110.837,241.2589,141.98688,25.791914,1.0517395,87,13,26,57,13,40,59,11,60,6
2017,1053,893,Jackson,.72523898,.15702213,.077067986,.17892192,94.039711,202.79576,99.953178,45.256329,.79028493,87,12,28,41,13,23,16,2,65,1
2012,885,572,Kanabec,.93055636,.039267562,,.50321102,95.448212,191.74257,,64.094482,,87,4,63,,2,19,16,,49,
2013,885,572,Kanabec,.92728943,.039267562,3.5686420e-09,.50321102,92.157593,168.94043,193.28909,24.507626,1.5934668,87,6,64,47,3,8,49,36,59,44
2014,885,572,Kanabec,.96367455,.039267562,2.3157703e-07,.55376023,85.277115,167.90627,160.83562,15.71615,1.3268961,87,7,68,57,2,5,38,25,60,28
2015,885,572,Kanabec,.97457737,.039561007,2.3156140e-07,.55375719,87.839333,168.35577,157.67392,15.810138,1.2671943,87,3,67,64,2,7,38,37,62,33
2016,885,572,Kanabec,1.0975701,.11788618,.063191049,.55375749,102.39027,182.47989,151.17113,28.875639,1.0732898,87,2,38,39,2,24,22,21,64,9
2017,885,572,Kanabec,.97063285,.058922216,.087319404,.5535723,87.04467,198.98268,128.50011,27.720098,1.0520046,87,2,60,34,2,10,15,15,47,15
2012,2996,2195,Kandiyohi,.45482716,.072292253,,.026653526,109.80962,197.67789,,18.046488,,87,71,53,,62,53,20,,9,
2013,2996,2195,Kandiyohi,.46083692,.072292253,.02438733,.03300463,111.63483,168.03717,154.04114,12.847972,1.3274392,87,72,54,26,55,47,46,19,6,24
2014,2996,2195,Kandiyohi,.49853799,.085942641,.072201625,.047307931,111.10857,175.29356,166.06143,9.21807,1.4652804,87,78,53,20,67,54,45,34,10,47
2015,2996,2195,Kandiyohi,.49041718,.088162214,.080153935,.054307021,109.66598,172.84236,159.01192,9.116065,1.3945279,87,73,46,19,62,53,40,39,13,48
2016,2996,2195,Kandiyohi,.48504016,.097033352,.090332463,.071810521,116.73906,188.21193,158.26268,9.0256424,1.1991587,87,66,46,28,53,47,30,27,12,28
2017,2996,2195,Kandiyohi,.47236422,.11586688,.11752231,.068611808,112.17003,210.35606,165.81755,12.166066,1.3565719,87,63,41,21,63,48,22,35,23,55
2012,422,306,Kittson,.55500221,0,,.092592776,96.322304,989.62506,,171.73505,,87,48,83.5,,27,21,85,,78,
2013,422,306,Kittson,.59378874,0,0,.092592776,93.209061,227.1264,316.77383,28.402573,2.9817958,87,49,83.5,70.5,26,11,76,81,66,81
2014,422,306,Kittson,.57771683,0,0,.12476565,88.026901,233.66025,294.14801,16.299438,2.6405346,87,55,83.5,76.5,27,10,76,85,63,85
2015,422,306,Kittson,.49225226,0,0,.073083945,97.986504,244.97298,300.74301,23.715981,2.5715694,87,72,82.5,79.5,53,28,75,86,80,86
2016,422,306,Kittson,.68649387,0,0,.21305844,100.9138,954.44727,1045.5433,76.223038,8.5485258,87,26,82,83.5,6,23,87,86,83,86
2017,422,306,Kittson,.57197124,0,,.21305844,92.462082,1047.7649,,77.351563,,87,45,82,,7,22,86,,80,
2012,604,445,Koochiching,.42010224,.025823832,,.10854054,99.281677,711.10779,,45.737114,,87,77,70,,16,27,84,,33,
2013,604,445,Koochiching,.44678375,.025823832,0,.080723234,102.82372,284.79816,382.26678,15.79056,3.2335911,87,79,72,70.5,31,25,85,84,26,84
2014,604,445,Koochiching,.50177139,.034147069,0,.13567713,93.701752,328.09299,383.69342,13.990829,3.3298612,87,77,70,76.5,21,19,87,86,49,87
2015,604,445,Koochiching,.54737866,.034147069,0,.18786351,90.370026,298.56091,292.20261,10.167528,2.524528,87,55,70,79.5,9,13,85,85,21,85
2016,604,445,Koochiching,.52205777,0,0,.19040561,94.804832,299.29593,336.96753,10.081962,2.5741119,87,55,82,83.5,8,14,77,79,20,78
2017,604,445,Koochiching,.43070576,0,.01681312,.19387221,79.797539,820.21735,127.23508,11.980645,1.1427524,87,77,82,70,10,5,85,14,22,25
2012,467,393,Lac qui Parle,.44745779,3.1838642e-06,,.077068262,95.243645,396.80634,,69.663445,,87,73,77,,32,17,73,,51,
2013,467,393,Lac qui Parle,.44808358,3.1838642e-06,0,.079324625,93.650391,120.7253,123.73044,18.907043,1.1074522,87,78,78,70.5,32,13,7,6,42,10
2014,467,393,Lac qui Parle,.5219655,.017109176,8.1120816e-06,.14783584,95.563942,180.48543,142.71748,17.984888,1.1684226,87,70,73,55,13,23,50,17,68,16
2015,467,393,Lac qui Parle,.5219357,.018099727,9.3957151e-06,.14397663,96.112038,167.58185,144.17586,17.971014,1.1542108,87,64,72,62,18,25,36,24,70,16
2016,467,393,Lac qui Parle,.5161894,.02262258,2.8621776e-06,.17397347,86.549385,290.6394,233.65791,18.81184,2.1230338,87,57,71,74,11,9,75,65,45,74
2017,467,393,Lac qui Parle,.42530331,.017110202,3.3711009e-07,.09948568,112.38525,337.6131,140.82613,197.9393,1.1488394,87,78,72,78,47,49,65,24,86,27
2012,520,530,Lake,.25294879,.03003733,,.020009916,114.99422,390.40918,,107.50165,,87,87,69,,65,58,72,,70,
2013,520,530,Lake,.36358351,.03003733,0,.050600424,113.31261,193.93701,216.12265,27.20941,1.6919339,87,85,70,70.5,42,52,62,49,64,50
2014,520,530,Lake,.38899162,0,0,.11931174,87.135742,248.91095,185.76535,9.2230024,1.4751569,87,84,83.5,76.5,29,8,80,41,11,48
2015,520,530,Lake,.28338614,0,0,.051167395,101.11508,260.43234,177.92087,9.3225269,1.399586,87,87,82.5,79.5,66,36,79,54,14,50
2016,520,530,Lake,.23906493,0,0,.0463962,102.48406,257.40811,257.47189,15.379848,1.9608833,87,87,82,83.5,72,25,64,70,37,72
2017,520,530,Lake,.27642739,0,.012364234,.053367414,102.2962,485.38589,413.88666,23.263527,3.201947,87,87,82,71,75,36,77,83,42,82
2012,296,171,Lake of the Woods,.41836333,0,,.093023494,95.567665,996.38208,,274.85519,,87,79,83.5,,26,20,86,,82,
2013,296,171,Lake of the Woods,.4599666,0,0,.093023494,92.885414,415.84015,500.92365,25.85746,4.5680208,87,73,83.5,70.5,25,9,87,87,61,87
2014,296,171,Lake of the Woods,.40009415,0,0,.093134783,93.346397,260.10754,260.10754,25.627829,2.348424,87,83,83.5,76.5,43,18,83,74,81,82
2015,296,171,Lake of the Woods,.44088703,0,.041603252,.093134783,92.612701,385.25235,116.31025,25.692644,1.0287182,87,82,82.5,36,40,18,87,4,82,7
2016,296,171,Lake of the Woods,.43951142,0,.054265112,.15513231,99.463425,433.05518,140.9973,240.69316,1.0574068,87,77,82,44,18,21,82,10,87,7
2017,296,171,Lake of the Woods,.41778699,0,.052004065,.17065477,75.998268,779.64862,133.50053,111.24813,.94282317,87,80,82,56,17,2,84,17,84,4
2012,3985,3033,Le Sueur,.72053629,.030278435,,.07431823,125.87668,226.67433,,74.577721,,87,23,68,,34,69,38,,55,
2013,3985,3033,Le Sueur,.72380042,.030278435,1.2931078e-18,.07431823,129.80673,208.38974,233.35199,30.236595,1.7346585,87,27,69,52,35,69,72,52,70,53
2014,3985,3033,Le Sueur,.77953404,.090936303,.079125762,.10692829,119.47179,207.43991,203.91246,9.3689966,1.5678389,87,24,52,18,38,62,67,50,12,53
2015,3985,3033,Le Sueur,.72175974,.074779831,.076435819,.10706075,121.4826,218.20544,171.51625,8.9163122,1.2879627,87,30,53,20,34,64,71,47,11,36
2016,3985,3033,Le Sueur,.68540138,.077271454,.083737105,.10375658,128.20808,224.92021,180.22861,9.2531881,1.2501593,87,27,52,31,38,62,56,43,14,34
2017,3985,3033,Le Sueur,.68000323,.10901196,.10646112,.093949467,126.40299,224.7112,169.70308,11.175435,1.2308419,87,22,44,23,50,68,33,41,20,39
2012,386,278,Lincoln,.63893062,0,,.000042563468,97.034164,357.35306,,388.77722,,87,33,83.5,,82,23,70,,85,
2013,386,278,Lincoln,.73048538,0,0,.00003617895,105.18498,205.62927,220.35625,70.194138,2.1245112,87,26,83.5,70.5,81,30,71,51,85,70
2014,386,278,Lincoln,.93811303,0,0,.19347481,87.54467,201.50937,221.60545,15.06447,2.1554518,87,11,83.5,76.5,8,9,63,59,53,77
2015,386,278,Lincoln,.80850422,0,0,.18361084,76.507484,186.07362,204.62746,14.294562,2.0540092,87,11,82.5,79.5,11,2,51,62,53,84
2016,386,278,Lincoln,.75085688,0,.0036019657,.18364614,78.496902,144.29951,263.17871,25.430212,2.8682044,87,14,82,70,9,4,6,71,59,79
2017,386,278,Lincoln,.91414011,0,.063575521,.23932248,76.544945,553.58722,194.37715,23.246634,1.7705733,87,4,82,49,6,3,80,55,41,75
2012,1741,1051,Lyon,.84940368,.17219852,,.05073294,102.18716,169.18668,,78.017899,,87,8,17,,44,37,7,,59,
2013,1741,1051,Lyon,.86803907,.14915739,0,.059431802,108.64061,132.36723,150.42291,15.033091,1.3133886,87,10,23,70.5,38,39,13,17,22,22
2014,1741,1051,Lyon,.96747977,.16514686,0,.10314594,102.07859,130.89572,139.97914,12.616176,1.2487049,87,6,25,76.5,40,37,7,15,39,23
2015,1741,1051,Lyon,.90870631,.16499309,.0065664002,.12404988,99.259453,131.80658,139.13391,7.5646048,1.2310812,87,5,23,55,26,31,8,21,2,27
2016,1741,1051,Lyon,.8582269,.14929919,.064048231,.12435568,118.95715,161.32143,143.8808,6.9812789,1.0943609,87,6,28,37,31,48,10,14,3,11
2017,1741,1051,Lyon,.7618944,.14286642,.080474868,.11184747,107.14496,279.43997,151.85284,8.8591585,1.2496918,87,10,32,39,37,43,54,28,9,43
2012,2630,2129,Mahnomen,.34578466,.036196534,,.14238462,67.883362,248.99988,,36.493,,87,84,65,,10,1,48,,24,
2013,2630,2129,Mahnomen,.36073661,.036196534,.0845723,.14218071,68.279686,112.29554,112.22736,15.750182,.88933784,87,86,66,10,11,1,3,2,25,1
2014,2630,2129,Mahnomen,.50748426,.047901716,.11069959,.26535013,54.655399,100.14024,105.41026,12.527681,.88561022,87,72,64,10,5,1,2,2,38,1
2015,2630,2129,Mahnomen,.46120474,0,.11968385,.20657618,58.541035,254.78159,145.77151,12.602732,1.2946279,87,78,82.5,9,6,1,78,26,39,38
2016,2630,2129,Mahnomen,.44479293,0,.14638814,.18310505,59.029213,180.40894,146.52519,13.9688,1.2294726,87,75,82,10,10,1,20,17,33,32
2017,2630,2129,Mahnomen,.43605655,0,.18232028,.19090979,70.870613,499.45886,159.00836,31.027695,1.2601305,87,76,82,5,12,1,78,31,52,44
2012,422,306,Marshall,.53026354,.046477731,,.083125465,100.85537,693.57764,,455.09064,,87,51,61,,31,35,83,,87,
2013,422,306,Marshall,.59678108,.056171276,0,.083125465,108.58109,160.13086,245.93619,51.686611,2.0680852,87,47,58,70.5,29,38,37,60,81,68
2014,422,306,Marshall,.58924299,.046477731,0,.11403307,102.7845,165.11458,213.16525,35.226791,1.8063834,87,51,65,76.5,31,39,34,55,83,65
2015,422,306,Marshall,.60390925,.049934529,0,.11403307,104.32786,175.59798,223.71185,35.226791,1.8730788,87,45,62,79.5,30,41,45,72,86,78
2016,422,306,Marshall,.56162119,.047446016,.022222277,.13312933,109.83385,593.85156,672.20844,32.545227,5.2562056,87,46,64,62,28,38,85,85,68,83
2017,422,306,Marshall,.63704473,.045509443,.061904915,.17198648,112.62837,731.86591,115.9534,90.238319,1.054383,87,31,64,50,16,50,83,7,82,16
2012,1065,924,Martin,.74118519,.080547854,,1.4547989e-14,103.01942,219.19992,,269.56485,,87,22,50,,84,38,34,,81,
2013,1065,924,Martin,.77224427,.080547854,0,1.4547989e-14,108.78207,153.91122,247.29716,45.669384,2.2668905,87,20,50,70.5,83,40,26,61,78,73
2014,1065,924,Martin,.85842299,.080547854,0,.11400323,98.191879,162.12486,210.71295,12.026612,1.9514862,87,17,55,76.5,32,28,33,52,34,72
2015,1065,924,Martin,.88121843,.099824384,1.1021203e-14,.11400323,100.26665,159.00092,149.83038,12.026612,1.351969,87,7,42,67,31,33,27,30,36,41
2016,1065,924,Martin,.91413635,.14530119,1.5757652e-14,.11400323,123.01347,191.40027,208.16573,17.687576,1.4860123,87,3,29,77,34,52,32,56,42,54
2017,1065,924,Martin,.83595318,.11806915,.011118227,.13124757,106.33185,263.94781,187.45592,29.943193,1.6690545,87,6,39,73,29,40,50,51,50,71
2012,2272,1740,McLeod,.69090438,.081349656,,.072204895,109.68294,235.51559,,14.254049,,87,26,49,,35,52,42,,3,
2013,2272,1740,McLeod,.77548951,.098214097,0,.1142854,110.04289,201.10265,207.77432,10.541366,1.6999699,87,19,42,70.5,18,44,65,45,3,52
2014,2272,1740,McLeod,.76532751,.15078372,.052587532,.089968324,115.87772,185.77921,232.6286,10.003712,1.8734199,87,27,30,25,45,58,54,65,15,66
2015,2272,1740,McLeod,.74728256,.17646548,.049192134,.089926004,121.94443,199.67972,151.74222,10.003024,1.1890291,87,24,18,32,45,65,65,32,19,22
2016,2272,1740,McLeod,.68448079,.13564037,.039945181,.091884032,127.48616,203.36819,158.63618,9.8450012,1.1250308,87,28,32,54,46,60,43,28,17,18
2017,2272,1740,McLeod,.66118115,.12366951,.078347929,.098706923,118.04988,206.45747,188.64372,10.027808,1.4661249,87,26,38,40,48,58,18,53,15,62
2012,2996,2195,Meeker,.45895147,.10723922,,.044791352,115.25589,255.88841,,57.679489,,87,70,38,,50,59,53,,44,
2013,2996,2195,Meeker,.45327944,.09809269,.0073244348,.044702947,114.93414,168.79262,128.0535,22.678419,1.0587962,87,76,43,37,47,56,48,8,54,7
2014,2996,2195,Meeker,.53120029,.09809269,.0073244348,.11303939,107.66705,172.56346,123.76949,13.534629,1.0027015,87,66,49,51,33,48,43,9,46,4
2015,2996,2195,Meeker,.52959114,.097949818,.0028969101,.11303939,108.13698,186.7081,137.81895,13.534639,1.0947137,87,59,44,58,32,51,52,17,48,9
2016,2996,2195,Meeker,.46970958,.13026597,.11446361,.072398223,103.48658,197.61609,162.82886,15.097452,1.6418737,87,68,33,19,52,27,36,33,36,66
2017,2996,2195,Meeker,.45742249,.13026597,.15309505,.083273306,117.95666,265.54755,211.85252,17.486956,1.7591453,87,71,36,15,56,57,51,64,30,74
2012,4073,2943,Mille Lacs,.50148767,.24342008,,.0092717037,123.13113,173.54269,,112.57952,,87,58,4,,76,67,8,,73,
2013,4073,2943,Mille Lacs,.62617534,.24384461,.041596595,.1002503,128.48863,155.3298,164.44508,50.595665,1.3490475,87,42,6,17,21,67,29,26,80,25
2014,4073,2943,Mille Lacs,.54544199,.23642035,.041596595,.044839498,121.3569,155.98134,164.73598,15.54049,1.3651563,87,61,13,36,69,65,24,32,56,31
2015,4073,2943,Mille Lacs,.52730411,.24073863,.041440412,.044839498,122.24249,156.53986,169.946,15.54049,1.4080776,87,60,10,37,69,66,25,43,60,52
2016,4073,2943,Mille Lacs,.53859633,.26495087,.05209586,.055325683,136.81931,181.01199,167.58473,37.531956,1.2199737,87,52,6,45,65,70,21,37,73,31
2017,4073,2943,Mille Lacs,.4877944,.23923388,.098523431,.055334676,123.16019,181.50473,169.32683,44.028133,1.3313123,87,61,12,27,71,63,6,39,64,51
2012,3652,3135,Morrison,.51371932,.02227661,,.060785249,100.4174,295.09238,,91.930656,,87,55,71,,40,34,60,,62,
2013,3652,3135,Morrison,.5702219,.029256774,.0046456824,.040575087,107.78592,160.34599,148.42311,31.555347,1.3153619,87,53,71,41,51,36,38,16,71,23
2014,3652,3135,Morrison,.63622755,.05874683,.048868153,.076230168,105.19693,159.71448,162.98744,18.123573,1.4405603,87,44,62,31,51,45,29,28,70,45
2015,3652,3135,Morrison,.57525009,.053163283,.095671229,.073307127,104.58543,173.66745,155.7682,17.690386,1.369472,87,47,61,14,51,43,42,35,68,47
2016,3652,3135,Morrison,.54853082,.049358595,.11213055,.070619829,112.16292,206.32161,164.08789,37.728153,1.3430986,87,50,63,20,54,44,47,35,74,45
2017,3652,3135,Morrison,.57103318,.073317096,.072368667,.083798096,108.88941,220.82933,183.39551,49.92202,1.5600165,87,46,55,43,55,45,29,50,67,66
2012,1838,1276,Mower,.40220529,.094774425,,.010078241,115.33728,163.0565,,18.917124,,87,80,44,,74,60,5,,10,
2013,1838,1276,Mower,.42179462,.096497886,1.1943199e-09,.010078241,119.23833,149.09229,285.08658,13.144032,2.3496621,87,80,45,48,73,60,21,75,8,77
2014,1838,1276,Mower,.50571817,.13279255,1.1943199e-09,.066360861,115.98208,175.3436,240.34857,10.009897,1.9058299,87,75,37,59,59,59,46,68,16,70
2015,1838,1276,Mower,.44448286,.082556754,.000040808827,.068692878,107.816,150.2943,228.79582,10.246872,1.8929263,87,80,49,61,57,50,21,74,23,79
2016,1838,1276,Mower,.41160953,.076040216,.060132161,.074342661,106.37335,232.41536,226.30287,13.368959,2.251663,87,82,53,40,51,33,57,64,28,75
2017,1838,1276,Mower,.39903092,.082461029,.06483791,.086758561,106.63577,194.22646,137.35538,9.2576942,1.0905381,87,84,52,48,54,41,12,22,11,18
2012,510,366,Murray,.76535994,.15259224,,6.5655146e-15,99.592316,281.63037,,314.01248,,87,17,22,,85,29,57,,83,
2013,510,366,Murray,.83211714,.15259224,0,6.5655146e-15,106.92671,163.39966,236.01489,72.843689,2.2955332,87,14,21,70.5,84,34,43,55,86,75
2014,510,366,Murray,.86141258,.15259224,0,.052889563,101.66241,154.3284,224.57764,25.378727,2.1937566,87,16,29,76.5,65,36,23,60,80,78
2015,510,366,Murray,.7285794,.15133156,0,.052929737,106.94372,151.62874,169.43114,24.877092,1.478194,87,28,27,79.5,65,47,22,42,81,60
2016,510,366,Murray,.7492739,.15255037,.00011776821,.10755026,111.59337,372.52948,535.06842,39.81522,5.3994203,87,15,27,72,37,42,80,82,76,84
2017,510,366,Murray,.71592468,.15255037,.00056166376,.10755026,103.17722,329.47141,412.60608,58.738056,3.7470896,87,14,30,76,41,38,63,82,74,83
2012,2078,1525,Nicollet,.75154787,.31647298,,.0099720396,133.83415,166.13948,,53.028645,,87,20,1,,75,74,6,,41,
2013,2078,1525,Nicollet,.70449281,.27047688,.0069647087,.0099077364,136.36949,166.14166,144.64539,22.932905,1.052307,87,31,3,39,74,73,45,15,56,6
2014,2078,1525,Nicollet,.7181288,.32304367,.083520435,.021046834,136.89236,166.50264,165.65559,15.625111,1.2131108,87,36,3,17,81,75,36,33,58,20
2015,2078,1525,Nicollet,.71668625,.31338406,.053234313,.049753949,135.12511,173.36615,132.09598,8.9741955,.92186332,87,31,3,29,67,75,41,12,12,2
2016,2078,1525,Nicollet,.63504851,.25011638,.016793417,.049693219,139.36639,186.05711,152.37279,13.559,1.0036882,87,37,8,66,70,72,25,24,29,4
2017,2078,1525,Nicollet,.68355513,.33025169,.046304759,.065409072,135.84541,187.86084,141.43892,13.660617,.96481299,87,21,4,57,66,74,8,25,26,6
2012,1791,1162,Nobles,.34506696,.047044352,,.041837107,85.48983,185.07675,,65.096352,,87,85,60,,52,4,14,,50,
2013,1791,1162,Nobles,.33217594,.047044352,0,.041837107,87.76416,124.98724,331.43863,14.867265,3.3628008,87,87,61,70.5,49,5,10,82,21,85
2014,1791,1162,Nobles,.3664614,.058096319,0,.06632866,88.428307,140.0209,228.31436,12.424265,2.2201331,87,86,63,76.5,60,12,14,63,36,79
2015,1791,1162,Nobles,.37191817,.047137722,.005952816,.07741522,88.181969,127.16399,119.39005,12.354294,1.0992254,87,86,63,56,49,9,4,5,38,10
2016,1791,1162,Nobles,.42512086,.052413333,.042862598,.13022272,115.29562,301.35962,223.3479,19.624353,1.5695387,87,81,62,51,30,46,78,62,47,60
2017,1791,1162,Nobles,.41766924,.052413333,.040325377,.14709093,79.666237,183.8638,103.27555,38.306252,.95589125,87,81,61,61,23,4,7,3,60,5
2012,352,273,Norman,.8113268,.23958302,,.16390787,94.062904,294.86429,,124.56133,,87,11,5,,9,14,59,,75,
2013,352,273,Norman,.86765468,.23958302,.23958302,.16390787,98.044792,113.42443,114.88172,27.898525,1.0205456,87,11,7,1,10,17,4,4,65,4
2014,352,273,Norman,.8731783,.32312846,.23958302,.10775862,109.80658,150.08145,109.53965,44.333645,.91567165,87,14,2,2,37,50,20,3,87,3
2015,352,273,Norman,.86156034,.082146473,5.2976359e-15,.36781973,95.822815,198.01358,176.64404,17.03248,1.4386272,87,9,50,68,3,23,60,53,67,54
2016,352,273,Norman,.7809152,.083545454,9.0477972e-14,.309374,84.384262,67.51593,127.90033,59.482235,1.6844945,87,12,50,76,3,7,1,3,81,67
2017,352,273,Norman,.80548912,.083545454,6.0317989e-14,.42416921,81.159492,260.25977,133.55212,21.544544,.88867718,87,7,51,79,3,7,45,19,37,3
2012,1549,1049,Olmsted,.76549405,.2218568,,.096298128,156.85649,228.33406,,11.112873,,87,16,10,,23,80,40,,2,
2013,1549,1049,Olmsted,.76046765,.21472037,.10765798,.098554961,160.82481,233.86148,250.03514,9.3198938,1.531364,87,25,11,7,24,80,77,63,1,39
2014,1549,1049,Olmsted,.79712319,.28748003,.19351982,.10234515,161.78807,227.44012,227.48038,8.1119385,1.4088483,87,22,7,4,41,80,75,62,5,39
2015,1549,1049,Olmsted,.78376806,.29952398,.21016058,.096290275,170.81868,239.25662,242.72234,7.9697561,1.5058805,87,17,4,1,37,80,74,76,5,62
2016,1549,1049,Olmsted,.71894592,.27294141,.1724304,.10179985,173.61655,255.55954,253.16954,8.2078466,1.4976132,87,20,5,5,40,80,63,68,9,55
2017,1549,1049,Olmsted,.71107352,.28449556,.19029175,.10765842,182.08022,260.70142,243.41933,8.1093473,1.3469082,87,15,7,4,39,80,47,70,6,54
2012,2630,2129,Otter Tail,.45425737,.04564444,,.048257153,105.01194,299.97964,,75.043022,,87,72,62,,48,39,64,,56,
2013,2630,2129,Otter Tail,.49899811,.039746646,.00009576157,.048257153,109.25779,159.55179,193.66991,20.65387,1.6251732,87,66,63,44,46,41,36,37,51,46
2014,2630,2129,Otter Tail,.54134768,.03985719,.002552401,.10683825,99.041069,159.43419,194.25594,14.57081,1.628582,87,63,67,53,39,31,27,44,51,56
2015,2630,2129,Otter Tail,.4789497,.034281068,.0083614234,.078878514,102.62776,163.78961,143.99074,14.764424,1.2017874,87,74,69,54,48,38,31,23,54,23
2016,2630,2129,Otter Tail,.46415129,.038921002,.023743371,.083466932,109.83244,159.23398,151.34232,33.263638,1.1654084,87,70,66,60,48,37,8,22,69,23
2017,2630,2129,Otter Tail,.47655872,.032455124,.072551765,.12560385,102.60735,307.93903,182.11707,57.518616,1.4946327,87,62,69,42,31,37,60,49,73,64
2012,1017,722,Pennington,.74495435,.11668392,,.021392418,108.09014,225.37146,,106.3184,,87,21,30,,64,46,36,,69,
2013,1017,722,Pennington,.76627982,.11668392,0,.021392418,111.78535,130.95561,236.0929,17.090155,2.061337,87,23,33,70.5,63,49,12,56,33,66
2014,1017,722,Pennington,.76043433,.11668392,0,.041048463,109.83269,133.14067,163.4826,13.562369,1.4267941,87,28,40,76.5,72,51,9,30,47,40
2015,1017,722,Pennington,.75422454,.12705782,0,.043168195,112.53562,141.53395,175.4826,13.562369,1.4935743,87,22,33,79.5,72,55,15,52,49,61
2016,1017,722,Pennington,.71991873,.11356831,.01112678,.058874246,120.59517,279.17868,160.99062,22.454943,1.2889745,87,19,39,69,63,50,72,31,54,38
2017,1017,722,Pennington,.7026664,.11356831,.011988208,.064560615,117.24803,242.28879,121.57063,39.298401,.96621424,87,18,42,72,67,55,40,9,61,7
2012,3387,2386,Pine,.34401587,.018208941,,.012837441,126.77179,227.88976,,143.49123,,87,86,72,,71,71,39,,77,
