year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2014,3985,3033,Blue Earth,.89979202,.27231994,.037691001,.18082389,116.81481,169.84148,164.72809,10.687814,1.2171892,87,12,8,38,10,60,40,31,21,21
2015,3985,3033,Blue Earth,.8857525,.28196073,.033053316,.18390708,116.62149,165.42123,132.05508,9.8043766,.96894282,87,6,6,43,10,60,33,11,17,5
2016,3985,3033,Blue Earth,.8268699,.28282183,.024112798,.19964756,124.81315,187.31461,162.20784,10.435064,1.0699739,87,8,4,59,7,56,26,32,21,8
2017,3985,3033,Blue Earth,.87009436,.36021969,.056973156,.20196886,120.88521,175.73747,166.36761,11.566237,1.1507652,87,5,3,54,8,61,4,36,21,28
2012,1576,1222,Brown,.93788058,.1391149,,.083518274,99.844902,173.88779,,99.977043,,87,3,24,,30,32,9,,67,
2013,1576,1222,Brown,.90580875,.14717846,.014228407,.0079877106,111.45506,149.24594,155.65598,28.708391,1.4073442,87,7,25,34,76,46,22,20,67,31
2014,1576,1222,Brown,.94651777,.14717846,.043918196,.10163707,103.36901,142.46637,127.98373,7.8094215,1.1191471,87,10,31,33,42,40,16,10,4,11
2015,1576,1222,Brown,.92029977,.1450571,.036503751,.17870906,96.421188,142.63454,130.25266,7.6177526,1.1425401,87,4,30,39,12,26,16,10,3,15
2016,1576,1222,Brown,.88767636,.15858126,.07473968,.13779414,111.66706,160.41922,131.21072,10.48495,1.090359,87,4,25,33,25,43,9,7,22,10
2017,1576,1222,Brown,.94350916,.18592201,.094003767,.20125952,97.738274,169.50375,123.24014,9.7099638,1.0237057,87,3,21,31,9,28,3,10,12,13
2012,1833,1346,Carlton,.50132895,.10747224,,.10509999,110.84766,212.34883,,87.431061,,87,59,37,,18,55,29,,61,
2013,1833,1346,Carlton,.58165753,.13754836,.038447242,.11845055,114.46964,148.49701,158.60742,26.479704,1.2430314,87,50,27,18,15,54,20,22,63,18
2014,1833,1346,Carlton,.6644454,.173126,.1158739,.20004371,98.865112,129.47829,116.81297,12.495418,.90066808,87,43,20,9,7,30,6,4,37,2
2015,1833,1346,Carlton,.62491339,.18027472,.1331718,.18894665,100.45779,139.59865,125.83649,12.765197,.97300249,87,43,16,7,8,34,13,8,40,6
2016,1833,1346,Carlton,.56805193,.23828153,.27306819,.070496142,126.91384,152.81517,159.17436,14.698458,1.1801817,87,45,11,2,55,58,7,29,35,26
2017,1833,1346,Carlton,.60699266,.26258829,.2723771,.11985051,119.25127,203.17616,175.44171,19.310688,1.2432671,87,35,9,1,34,60,17,45,33,41
2012,6403,4796,Carver,.48343372,.23082836,,.0030655414,194.98212,245.62079,,25.901443,,87,65,8,,81,84,47,,18,
2013,6403,4796,Carver,.50009531,.25156206,.09499339,.0030418378,203.07722,256.62949,262.00607,20.569286,1.363125,87,65,5,9,80,85,81,68,49,26
2014,6403,4796,Carver,.55001152,.30540365,.097588584,.020636145,195.9814,244.53317,268.25269,10.199839,1.4073225,87,59,4,15,82,83,78,75,18,38
2015,6403,4796,Carver,.55150956,.32738537,.1379158,.020937305,202.52658,247.82153,270.17773,9.8316584,1.3994526,87,54,2,4,85,83,76,79,18,49
2016,6403,4796,Carver,.53480226,.33670124,.15213379,.020929519,214.59308,260.9873,269.02686,9.8674984,1.3004247,87,53,2,9,86,85,66,72,18,39
2017,6403,4796,Carver,.58965176,.40838966,.17853065,.020822603,213.3945,253.0835,252.70065,9.9440346,1.2245109,87,39,2,7,86,85,43,71,13,38
2012,3547,2230,Cass,.48294595,.036755566,,.20965435,96.86924,344.23752,,71.136475,,87,66,64,,7,22,67,,54,
2013,3547,2230,Cass,.50816506,.03839108,.0059109968,.19833159,103.74567,161.37502,202.46707,29.02718,1.6090386,87,62,65,40,7,27,41,41,68,45
2014,3547,2230,Cass,.7832045,.2686685,.25029165,.1461364,104.56258,219.01851,217.38251,23.435719,1.6973522,87,23,10,1,14,44,70,57,79,59
2015,3547,2230,Cass,.5003221,.046028387,.034863263,.1529121,100.7977,191.98085,174.60175,23.358286,1.335749,87,67,64,40,16,35,58,50,79,40
2016,3547,2230,Cass,.44878897,.026003823,.091631055,.17201717,100.18203,184.40897,154.57832,47.878124,1.1110984,87,74,70,26,12,22,24,26,79,14
2017,3547,2230,Cass,.44786403,.03605013,.096558906,.19349372,90.527702,384.2016,218.30077,53.572803,1.3262905,87,74,68,29,11,18,69,66,69,50
2012,746,589,Chippewa,.66497433,.084474474,,.086914606,88.211578,182.23247,,19.018106,,87,32,48,,28,7,11,,11,
