county,year,varname,value_b2
Becker,2017,AvgCapacity(rank),53
Becker,2017,CCCShare(rank),60
Becker,2017,HRShare(rank),9
Becker,2017,Public(rank),30
Becker,2018,Weekly Price(rank),37
Becker,2018,TotCapacity(rank),34
Becker,2018,AvgCapacity(rank),60
Becker,2018,CCCShare(rank),65
Becker,2018,HRShare(rank),4
Becker,2018,Public(rank),20
Becker,2019,Weekly Price(rank),35
Becker,2019,TotCapacity(rank),34
Becker,2019,AvgCapacity(rank),54
Becker,2019,CCCShare(rank),66
Becker,2019,HRShare(rank),5
Becker,2019,Public(rank),26
Becker,2020,Weekly Price(rank),34
Becker,2020,TotCapacity(rank),34
Becker,2020,AvgCapacity(rank),53
Becker,2020,CCCShare(rank),70
Becker,2020,HRShare(rank),5
Becker,2020,Public(rank),30
Becker,2021,Weekly Price(rank),24
Becker,2021,TotCapacity(rank),33
Becker,2021,AvgCapacity(rank),54
Becker,2021,CCCShare(rank),38
Becker,2021,HRShare(rank),9
Becker,2021,Public(rank),30
Becker,2022,Weekly Price(rank),35
Becker,2022,TotCapacity(rank),30
Becker,2022,AvgCapacity(rank),41
Becker,2022,CCCShare(rank),31
Becker,2022,HRShare(rank),8
Becker,2022,Public(rank),22
Beltrami,2012,Weekly Price(rank),35
Beltrami,2012,TotCapacity(rank),21
Beltrami,2012,AvgCapacity(rank),21
Beltrami,2012,CCCShare(rank),22
Beltrami,2012,HRShare(rank),44
Beltrami,2012,Public(rank),31
Beltrami,2013,Weekly Price(rank),37
Beltrami,2013,TotCapacity(rank),21
Beltrami,2013,AvgCapacity(rank),23
Beltrami,2013,CCCShare(rank),29
Beltrami,2013,HRShare(rank),40
Beltrami,2013,Public(rank),29
Beltrami,2014,Weekly Price(rank),30
Beltrami,2014,TotCapacity(rank),16
Beltrami,2014,AvgCapacity(rank),23
Beltrami,2014,CCCShare(rank),18
Beltrami,2014,HRShare(rank),46.5
Beltrami,2014,Public(rank),46
Beltrami,2015,Weekly Price(rank),37
Beltrami,2015,TotCapacity(rank),22
Beltrami,2015,AvgCapacity(rank),35
Beltrami,2015,CCCShare(rank),36
Beltrami,2015,HRShare(rank),55
Beltrami,2015,Public(rank),35
Beltrami,2016,Weekly Price(rank),45
Beltrami,2016,TotCapacity(rank),22
Beltrami,2016,AvgCapacity(rank),35
Beltrami,2016,CCCShare(rank),54
Beltrami,2016,HRShare(rank),55
Beltrami,2016,Public(rank),39
Beltrami,2017,Weekly Price(rank),37
Beltrami,2017,TotCapacity(rank),21
Beltrami,2017,AvgCapacity(rank),36
Beltrami,2017,CCCShare(rank),55.5
Beltrami,2017,HRShare(rank),47
Beltrami,2017,Public(rank),46
Beltrami,2018,Weekly Price(rank),36
Beltrami,2018,TotCapacity(rank),21
Beltrami,2018,AvgCapacity(rank),40
Beltrami,2018,CCCShare(rank),52
Beltrami,2018,HRShare(rank),40
Beltrami,2018,Public(rank),52
Beltrami,2019,Weekly Price(rank),38
Beltrami,2019,TotCapacity(rank),20
Beltrami,2019,AvgCapacity(rank),34
Beltrami,2019,CCCShare(rank),51
Beltrami,2019,HRShare(rank),25.5
Beltrami,2019,Public(rank),53
Beltrami,2020,Weekly Price(rank),45
Beltrami,2020,TotCapacity(rank),18
Beltrami,2020,AvgCapacity(rank),41
Beltrami,2020,CCCShare(rank),62
Beltrami,2020,HRShare(rank),23
Beltrami,2020,Public(rank),31
Beltrami,2021,Weekly Price(rank),35
Beltrami,2021,TotCapacity(rank),21
Beltrami,2021,AvgCapacity(rank),36
Beltrami,2021,CCCShare(rank),46
Beltrami,2021,HRShare(rank),22
Beltrami,2021,Public(rank),32
Beltrami,2022,Weekly Price(rank),30
Beltrami,2022,TotCapacity(rank),25
Beltrami,2022,AvgCapacity(rank),59
Beltrami,2022,CCCShare(rank),48.5
Beltrami,2022,HRShare(rank),37.5
Beltrami,2022,Public(rank),42
Benton,2012,Weekly Price(rank),24
Benton,2012,TotCapacity(rank),18
Benton,2012,AvgCapacity(rank),55
Benton,2012,CCCShare(rank),66
Benton,2012,HRShare(rank),44
Benton,2012,Public(rank),77
Benton,2013,Weekly Price(rank),25
Benton,2013,TotCapacity(rank),19
Benton,2013,AvgCapacity(rank),50
Benton,2013,CCCShare(rank),67
Benton,2013,HRShare(rank),82
Benton,2013,Public(rank),76
Benton,2014,Weekly Price(rank),22
Benton,2014,TotCapacity(rank),19
Benton,2014,AvgCapacity(rank),57
Benton,2014,CCCShare(rank),65
Benton,2014,HRShare(rank),86
Benton,2014,Public(rank),84
Benton,2015,Weekly Price(rank),24
Benton,2015,TotCapacity(rank),19
Benton,2015,AvgCapacity(rank),63
Benton,2015,CCCShare(rank),61
Benton,2015,HRShare(rank),86
Benton,2015,Public(rank),86
Benton,2016,Weekly Price(rank),23
Benton,2016,TotCapacity(rank),15
Benton,2016,AvgCapacity(rank),46
Benton,2016,CCCShare(rank),53
Benton,2016,HRShare(rank),85.5
Benton,2016,Public(rank),87
Benton,2017,Weekly Price(rank),19
Benton,2017,TotCapacity(rank),16
Benton,2017,AvgCapacity(rank),49
Benton,2017,CCCShare(rank),49
Benton,2017,HRShare(rank),85
