adj_supply_hr,adj_supply_any,year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_ccc,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,share_hr
1.1496626e-14,.5949595,2013,467,393,Big Stone,1.1496626e-14,.08471553,90.035278,132.5761,127.50494,15.97442,1.1584533,87,48,79,49,28,6,14,7,28,14,1.9323376e-14
1.1496626e-14,.59716755,2014,467,393,Big Stone,1.1496626e-14,.08471553,94.595291,133.25279,129.33662,15.086942,1.1924576,87,49,79,62,47,20,10,11,54,18,1.9251926e-14
1.1516730e-14,.62073928,2015,467,393,Big Stone,1.1516730e-14,.091798276,89.510849,134.48741,134.48741,15.251574,1.2547116,87,44,77,66,43,12,11,14,57,30,1.8553249e-14
0,.59535062,2016,467,393,Big Stone,1.1496626e-14,.13373996,94.831825,371.15015,560.24097,28.864689,1.5767316,87,42,76,83.5,26,15,79,83,63,61,0
,.55795246,2017,467,393,Big Stone,1.1496626e-14,.091798276,90.836128,396.11548,,75.482147,,87,49,76,,52,19,71,,77,,
,.63591528,2018,467,393,Big Stone,1.1496626e-14,.11276912,95.040092,187.90094,,15.253117,,87,26,76,,34,14,29,,60,,
,.88991404,2012,3985,3033,Blue Earth,.23320705,.16920142,110.87747,151.15738,,32.897255,,87,6,6,,8,56,3,,20,,
.007219906,.89995027,2013,3985,3033,Blue Earth,.234593,.16724709,117.26051,160.45355,131.36295,13.755829,.99402654,87,8,9,38,9,58,39,10,13,2,.0080225607
.037691001,.89979202,2014,3985,3033,Blue Earth,.27231994,.18082389,116.81481,169.84148,164.72809,10.687814,1.2171892,87,12,8,38,10,60,40,31,21,21,.041888569
.033053316,.8857525,2015,3985,3033,Blue Earth,.28196073,.18390708,116.62149,165.42123,132.05508,9.8043766,.96894282,87,6,6,43,10,60,33,11,17,5,.03731665
.024112798,.8268699,2016,3985,3033,Blue Earth,.28282183,.19964756,124.81315,187.31461,162.20784,10.435064,1.0699739,87,8,4,59,7,56,26,32,21,8,.029161539
.056973156,.87009436,2017,3985,3033,Blue Earth,.36021969,.20196886,120.88521,175.73747,166.36761,11.566237,1.1507652,87,5,3,54,8,61,4,36,21,28,.065479286
.048725933,.8335678,2018,3985,3033,Blue Earth,.33549345,.21081027,127.8547,194.74619,158.93433,8.6076612,.97629941,87,5,4,54,6,58,36,40,13,10,.058454674
,.93788058,2012,1576,1222,Brown,.1391149,.083518274,99.844902,173.88779,,99.977043,,87,3,24,,30,32,9,,67,,
.014228407,.90580875,2013,1576,1222,Brown,.14717846,.0079877106,111.45506,149.24594,155.65598,28.708391,1.4073442,87,7,25,34,76,46,22,20,67,31,.01570796
.043918196,.94651777,2014,1576,1222,Brown,.14717846,.10163707,103.36901,142.46637,127.98373,7.8094215,1.1191471,87,10,31,33,42,40,16,10,4,11,.046399757
.036503751,.92029977,2015,1576,1222,Brown,.1450571,.17870906,96.421188,142.63454,130.25266,7.6177526,1.1425401,87,4,30,39,12,26,16,10,3,15,.039665066
.07473968,.88767636,2016,1576,1222,Brown,.15858126,.13779414,111.66706,160.41922,131.21072,10.48495,1.090359,87,4,25,33,25,43,9,7,22,10,.084196992
.094003767,.94350916,2017,1576,1222,Brown,.18592201,.20125952,97.738274,169.50375,123.24014,9.7099638,1.0237057,87,3,21,31,9,28,3,10,12,13,.099632062
.069745384,.87269551,2018,1576,1222,Brown,.15858126,.16116703,108.00591,158.62105,124.69801,7.6989036,.9785791,87,3,27,40,12,37,8,9,6,11,.079919495
,.50132895,2012,1833,1346,Carlton,.10747224,.10509999,110.84766,212.34883,,87.431061,,87,59,37,,18,55,29,,61,,
.038447242,.58165753,2013,1833,1346,Carlton,.13754836,.11845055,114.46964,148.49701,158.60742,26.479704,1.2430314,87,50,27,18,15,54,20,22,63,18,.06609945
.1158739,.6644454,2014,1833,1346,Carlton,.173126,.20004371,98.865112,129.47829,116.81297,12.495418,.90066808,87,43,20,9,7,30,6,4,37,2,.1743919
.1331718,.62491339,2015,1833,1346,Carlton,.18027472,.18894665,100.45779,139.59865,125.83649,12.765197,.97300249,87,43,16,7,8,34,13,8,40,6,.21310441
.27306819,.56805193,2016,1833,1346,Carlton,.23828153,.070496142,126.91384,152.81517,159.17436,14.698458,1.1801817,87,45,11,2,55,58,7,29,35,26,.48070991
.2723771,.60699266,2017,1833,1346,Carlton,.26258829,.11985051,119.25127,203.17616,175.44171,19.310688,1.2432671,87,35,9,1,34,60,17,45,33,41,.44873211
.13548774,.53375155,2018,1833,1346,Carlton,.15864824,.1476047,102.12563,161.19658,153.82579,10.827525,1.0993046,87,43,26,13,19,24,11,32,31,34,.25384045
,.48343372,2012,6403,4796,Carver,.23082836,.0030655414,194.98212,245.62079,,25.901443,,87,65,8,,81,84,47,,18,,
.09499339,.50009531,2013,6403,4796,Carver,.25156206,.0030418378,203.07722,256.62949,262.00607,20.569286,1.363125,87,65,5,9,80,85,81,68,49,26,.18995057
.097588584,.55001152,2014,6403,4796,Carver,.30540365,.020636145,195.9814,244.53317,268.25269,10.199839,1.4073225,87,59,4,15,82,83,78,75,18,38,.17743008
.1379158,.55150956,2015,6403,4796,Carver,.32738537,.020937305,202.52658,247.82153,270.17773,9.8316584,1.3994526,87,54,2,4,85,83,76,79,18,49,.25006965
.15213379,.53480226,2016,6403,4796,Carver,.33670124,.020929519,214.59308,260.9873,269.02686,9.8674984,1.3004247,87,53,2,9,86,85,66,72,18,39,.28446737
.17853065,.58965176,2017,6403,4796,Carver,.40838966,.020822603,213.3945,253.0835,252.70065,9.9440346,1.2245109,87,39,2,7,86,85,43,71,13,38,.30277303
.14735201,.5551936,2018,6403,4796,Carver,.37888706,.026736123,232.57683,282.75336,286.11972,8.8683939,1.2300646,87,39,3,10,83,84,74,77,16,51,.26540655
,.48294595,2012,3547,2230,Cass,.036755566,.20965435,96.86924,344.23752,,71.136475,,87,66,64,,7,22,67,,54,,
.0059109968,.50816506,2013,3547,2230,Cass,.03839108,.19833159,103.74567,161.37502,202.46707,29.02718,1.6090386,87,62,65,40,7,27,41,41,68,45,.011632041
.25029165,.7832045,2014,3547,2230,Cass,.2686685,.1461364,104.56258,219.01851,217.38251,23.435719,1.6973522,87,23,10,1,14,44,70,57,79,59,.31957382
.034863263,.5003221,2015,3547,2230,Cass,.046028387,.1529121,100.7977,191.98085,174.60175,23.358286,1.335749,87,67,64,40,16,35,58,50,79,40,.069681637
.091631055,.44878897,2016,3547,2230,Cass,.026003823,.17201717,100.18203,184.40897,154.57832,47.878124,1.1110984,87,74,70,26,12,22,24,26,79,14,.20417404
.096558906,.44786403,2017,3547,2230,Cass,.03605013,.19349372,90.527702,384.2016,218.30077,53.572803,1.3262905,87,74,68,29,11,18,69,66,69,50,.2155987
.10544557,.38268426,2018,3547,2230,Cass,.086271085,.11458997,108.98296,204.25104,155.99255,23.103807,1.1386771,87,80,47,18,32,40,42,35,80,40,.27554196
,.66497433,2012,746,589,Chippewa,.084474474,.086914606,88.211578,182.23247,,19.018106,,87,32,48,,28,7,11,,11,,
.014090008,.65041602,2013,746,589,Chippewa,.084474474,.085184999,87.612968,90.83448,105.41986,13.615007,1.0109102,87,37,49,35,27,4,1,1,11,3,.02166307
.049023673,.7271589,2014,746,589,Chippewa,.084474474,.12834348,88.254951,113.20399,119.85265,13.122483,1.0964768,87,33,54,30,25,11,3,7,42,8,.067418098
.05762431,.65006435,2015,746,589,Chippewa,.10715707,.05394569,103.23401,115.77747,108.01589,15.875443,.96449137,87,40,39,27,64,39,3,2,63,4,.088644013
.046636324,.63787484,2016,746,589,Chippewa,.084474474,.099626169,95.288254,100.20993,127.95827,16.51895,1.1177113,87,36,49,49,43,16,3,4,38,16,.073112033
.027169449,.60527003,2017,746,589,Chippewa,.10715997,.11035623,94.577721,192.75439,126.02464,33.988823,1.1228774,87,36,46,66,38,24,10,12,54,22,.044888146
.12865193,.51838815,2018,746,589,Chippewa,.093069963,.062616125,120.37087,216.73576,214.978,32.986954,1.814374,87,47,46,14,62,53,56,71,85,81,.24817684
,.4313547,2012,3387,2386,Chisago,.13059123,4.4653584e-06,146.63786,222.71114,,75.049446,,87,75,25,,83,78,35,,57,,
.050103821,.45984524,2013,3387,2386,Chisago,.13735007,4.4653584e-06,149.0827,205.00398,216.55124,42.717438,1.5420842,87,74,28,14,82,78,70,50,75,40,.10895801
.050913256,.50680029,2014,3387,2386,Chisago,.14128321,.040611856,141.63832,205.37033,211.97052,11.874584,1.4449806,87,73,34,27,73,76,65,54,33,46,.10046019
.048649181,.45435637,2015,3387,2386,Chisago,.12816641,.040640589,143.06735,216.91078,228.53639,11.877884,1.5462575,87,79,32,33,74,76,69,73,35,67,.10707274
.040248405,.40682802,2016,3387,2386,Chisago,.12712599,.040703394,147.63229,224.49347,225.18018,13.942252,1.4262525,87,83,34,53,74,76,55,63,32,53,.098932236
.054045551,.46979252,2017,3387,2386,Chisago,.13717051,.10520382,130.82782,236.06297,169.63815,14.608056,1.1199007,87,65,35,55,42,70,37,40,28,21,.11504132
.054381855,.41317183,2018,3387,2386,Chisago,.157049,.040437415,155.09477,237.30708,176.38263,11.898756,1.0369791,87,76,28,50,75,74,66,54,38,19,.13162044
,.61677438,2012,4059,3343,Clay,.16109948,.033571586,124.32535,216.31322,,47.958736,,87,37,19,,57,68,32,,37,,
.016283436,.65328503,2013,4059,3343,Clay,.16109948,.057525262,124.23691,174.7791,137.22563,14.603787,1.0333545,87,36,20,32,39,63,53,11,18,5,.024925468
.03128963,.63097459,2014,4059,3343,Clay,.17133528,.042954784,127.3046,177.14571,152.31737,13.172125,1.1357354,87,46,22,41,70,71,49,22,43,12,.049589366
.029555585,.59448671,2015,4059,3343,Clay,.1712126,.0369922,133.58862,188.03027,174.5545,13.388988,1.2594668,87,46,21,45,77,74,55,49,46,31,.049716141
.0583754,.5566287,2016,4059,3343,Clay,.15870541,.039286569,138.87421,198.50983,173.0434,13.161944,1.1951511,87,47,24,41,75,71,37,41,27,27,.10487314
.095417038,.57605726,2017,4059,3343,Clay,.18252681,.048844848,135.72377,251.37762,173.14908,24.537846,1.1919451,87,44,22,30,77,72,42,44,43,35,.16563812
.083140776,.54281384,2018,4059,3343,Clay,.17230499,.040310659,148.35156,214.37755,168.08321,9.9714499,1.0641192,87,40,21,29,76,72,50,47,23,26,.15316628
,.36526975,2012,558,365,Clearwater,0,.11533539,86.549927,558.05267,,57.250031,,87,81,83.5,,15,5,81,,43,,
.010550781,.3773348,2013,558,365,Clearwater,0,.11533539,86.747688,193.92703,185.2674,19.71352,1.6406089,87,83,83.5,36,17,3,61,32,48,47,.027961325
.055134721,.5278874,2014,558,365,Clearwater,0,.15395166,93.20565,199.22034,166.47655,18.006128,1.4316857,87,68,83.5,23,12,16,61,35,69,41,.10444409
.049869973,.56475788,2015,558,365,Clearwater,0,.15780053,92.20295,199.23514,149.91397,17.890369,1.2878525,87,49,82.5,31,15,16,63,31,69,35,.088303283
.091395915,.46350077,2016,558,365,Clearwater,0,.09770377,108.32331,201.36807,130.28513,65.461357,.95119208,87,71,82,27,45,34,42,6,82,2,.19718611
.045079544,.4567683,2017,558,365,Clearwater,0,.10758699,99.316254,610.11609,338.2674,83.721191,2.8294082,87,72,82,58,40,32,82,80,81,81,.098692365
