year,county,TotCapacity,Price,Capacity,ShareCCC,ShareHighRated,SharePublic
2013,Renville,1687.4877,100.9,32.5,.019,.038,.038
2013,Koochiching,286.63333,106.8,10.2,0,.036,.036
2013,Otter Tail,1692.9684,106.7,10.5,.025,.019,.019
2013,Fillmore,1071.8406,101.6,18.5,.052,.052,.052
2013,Douglas,1990.7708,105.5,12.6,.025,.032,.032
2013,Mower,1123.4124,111.3,11.2,.04,.02,.02
2013,Todd,608.47144,87.7,11.1,0,.091,.091
2013,Cass,1197.6958,98.2,20.3,.034,.153,.136
2013,Swift,459.68414,89.2,11.5,.025,.1,.075
2013,Steele,2098.9617,110.1,13,.037,.019,.012
2013,Clearwater,221.10477,84.59999999999999,11.1,0,.2,.15
2013,Winona,1790.2782,110.7,12,.047,.034,.02
2013,Murray,320.88,90.3,11.1,.034,0,0
2013,Rock,486.5,99.40000000000001,9.699999999999999,0,0,0
2013,Pennington,742.96356,103.3,10.9,.029,.015,.015
2013,Watonwan,433.29184,90.5,13.5,.094,.031,.031
2013,Benton,1912.5936,116,11.4,.018,.006,.006
2013,Lake,191.67154,111,10.6,.056,.056,.056
2013,Goodhue,1488.2554,125.3,11.4,.046,.015,.015
2013,Polk,1401.6932,105.8,13,.056,.065,.037
2013,Mille Lacs,1038.8627,113.5,18.2,.07,.053,.018
2013,Nicollet,1423.2202,120.9,15.3,.086,.032,0
2013,Lincoln,239.3,98.40000000000001,10,0,0,0
2013,Stevens,448.4711,100.4,11.5,.026,.026,.026
2013,Marshall,380.29602,95.40000000000001,10.6,.056,.083,.083
2013,Waseca,723.01709,103.2,10.6,.029,.015,.015
2013,Faribault,404.20639,85.5,13.5,.067,.1,.1
2013,Chippewa,450.77524,91.40000000000001,12.2,.027,.054,.054
2013,Beltrami,1735.157,107.4,13.5,.047,.047,.047
2013,Morrison,1253.6847,101.2,10.4,.025,.025,.017
2013,Sibley,552.56665,109.8,9.9,0,.054,.054
2013,Le Sueur,1069.5524,121.1,10.4,0,.019,.019
2013,Meeker,592.19226,100.4,12.9,.043,.065,.043
2013,Nobles,569.35248,84.3,11.9,.042,.063,.063
2013,Pope,448.98285,100.4,11.5,.051,.051,.051
2013,Dodge,1009.7,121.3,11.3,.011,.022,.022
2013,Yellow Medicine,537.18732,93.3,10.3,.019,.077,.058
2013,Aitkin,377.60446,112.1,12.2,.032,.065,.032
2013,Houston,797.72662,104.2,10.1,.025,.051,.051
2013,Becker,1328.3953,109.3,10.9,.016,.172,.049
2013,Kanabec,759.20551,104.9,22.3,.029,.029,.029
