year,adj_supply_any,totcost_any,quality_premium,county,share_hr,access_index
2018,.58573532,108.71598,.95184124,Aitkin,.41190428,.56209004
2018,6.2498525e-13,163.05559,1.1001842,Aitkin,1,.72715515
2018,.66861182,150.85472,1.1184453,Aitkin,.98571128,1.3818803
2018,.70335466,109.01329,.93619949,Aitkin,.43738252,.71173376
2018,.00038131233,15.666698,1.1304086,Aitkin,1,1.3958172
2018,.94871187,116.59406,.93012768,Aitkin,.34428033,.75435907
2018,2.4340123e-38,146.26486,2.0058756,Aitkin,0,-.82387888
2018,1.6964465,89.610382,1.2125677,Aitkin,.45760456,1.7574458
2018,.35107562,9.468401,1.1432139,Aitkin,.99927586,1.7493321
2018,1.0302546,124.75319,1.1018778,Aitkin,.00054227619,.23398101
2018,.0092762262,134.0311,1.1612148,Aitkin,2.9584888e-07,-.75976807
2018,.75273192,6.4169745,1.1392678,Aitkin,.99999821,2.1383908
2018,.020692915,155.07806,1.1150389,Aitkin,.99966913,.78205985
2018,4.0835228e-11,162.22226,1.1094223,Aitkin,1,.73093373
2018,1.4139507,48.831703,1.2066693,Aitkin,.75005299,2.1551342
2018,.56994724,106.61634,.95285165,Aitkin,.43679652,.59741145
2018,.88446707,4.6329989,1.1421914,Aitkin,.99988413,2.2689743
2018,2.1080988e-15,135.20641,1.2437232,Aitkin,.0065290225,-.7631126
2018,1.622607,88.620735,1.214424,Aitkin,.47320259,1.7185498
2018,0,134.54515,1.1589785,Aitkin,,
2018,9.1753992e-37,145.9593,1.6756161,Aitkin,0,-.82249337
2018,0,102.33401,,Aitkin,,
2018,.54214203,108.76083,.86441797,Aitkin,.59135365,.81328428
2018,1.8776927e-12,138.98706,1.5135005,Aitkin,0,-.79087907
2018,1.6821876,89.463501,1.2123287,Aitkin,.46043611,1.7494404
2018,1.2160803,80.997742,1.2102261,Aitkin,.57585436,1.5415639
2018,1.087504,119.58746,.94836891,Aitkin,.2831198,.77051944
2018,1.4077379,62.794529,1.2090588,Aitkin,.67958707,1.9713768
2018,.20934607,139.56876,1.0296711,Aitkin,.047495544,-.52127737
2018,.20242654,130.82249,1.1790776,Aitkin,1.4649875e-06,-.56534392
2018,1.1106567,119.04747,.93292814,Aitkin,.30161685,.82462692
2018,.80177915,122.80984,1.0589263,Aitkin,.17246912,.30977622
2018,.55652559,126.59879,1.2111758,Aitkin,1.1852757e-06,-.21643376
2018,.067341618,133.01886,.98460567,Aitkin,.15111734,-.45521131
2018,.059398871,134.36766,.98421824,Aitkin,.14164996,-.48412904
2018,.10766771,126.16787,.97901291,Aitkin,.21127382,-.28870794
2018,.18061894,132.48201,1.0041075,Aitkin,.13150577,-.37919754
2018,.57124972,205.83075,.95485723,Anoka,.0025436857,-.5578469
2018,.27511117,210.79401,1.6730744,Anoka,.40494648,-.20135731
2018,.68437451,207.81877,1.3667133,Anoka,.41553611,.21049581
2018,.48821816,191.3118,1.4679332,Anoka,.34280971,-.015667498
2018,.48796937,198.97105,.89195019,Anoka,1.7213001e-33,-.60843778
2018,.45127392,244.11377,1.394431,Anoka,.48265651,-.061938465
2018,.29736817,238.38857,1.3099961,Anoka,.27235746,-.52149713
2018,.57590824,242.54494,1.4185807,Anoka,.45930296,.02324217
2018,.36937106,246.12807,1.412678,Anoka,.46731991,-.17230016
2018,.37253073,246.66505,1.4223469,Anoka,.47065231,-.16637015
2018,.37475279,246.91472,1.4282258,Anoka,.47282583,-.16189624
2018,.37718269,247.0625,1.431203,Anoka,.47382361,-.15867986
2018,.54284143,293.65524,1.3118757,Anoka,.4676716,-.22568445
2018,.42011374,219.60814,1.4597337,Anoka,.36273882,-.1749669
2018,.42502511,240.1747,1.4918976,Anoka,.51869732,-.009877543
2018,.73872298,201.1698,.85099494,Anoka,5.7364118e-13,-.38489026
2018,.28397837,240.74496,1.2538021,Anoka,.13131082,-.77415782
2018,.63600487,260.58429,1.3974016,Anoka,.47577211,.024209946
2018,.45403761,239.96498,1.505486,Anoka,.50945252,.0030487876
2018,.38597015,245.38603,1.3932798,Anoka,.47830567,-.13560176
2018,.44022954,249.33521,1.4802966,Anoka,.48075253,-.098997369
2018,.87710738,213.10144,1.3277118,Anoka,.66445947,.77106756
2018,.4881359,183.63977,.92493761,Anoka,.015687069,-.51324034
2018,.524867,231.5172,1.3671011,Anoka,.47597364,.052838575
2018,.42990944,245.39072,1.4231863,Anoka,.49350911,-.069965445
2018,.70343858,228.84798,1.4519532,Anoka,.43291047,.16116755
2018,.5000217,237.52234,1.5216199,Anoka,.53703701,.10183234
2018,.20962107,176.39629,1.7524179,Anoka,.031945333,-.71331149
2018,.24340026,191.57513,.89294851,Anoka,.00028266685,-.80220032
2018,.54735988,242.18616,1.2074342,Anoka,.28347799,-.28781384
2018,.58412445,246.68298,1.4791853,Anoka,.4459303,-.0096291453
2018,.71883017,177.18275,1.0155817,Anoka,.0003677599,-.29405254
2018,.51450783,249.69479,1.1902453,Anoka,.29523253,-.33332756
2018,.47894773,233.54355,1.3924131,Anoka,.45244843,-.037391871
2018,.22726408,157.1788,1.4178569,Anoka,.43067172,.039051753
2018,.40119952,247.56252,1.3710972,Anoka,.4566291,-.16655949
2018,.63401967,202.63936,1.4806162,Anoka,.33723354,.05967588
2018,.78649241,217.86481,1.4600092,Anoka,.54557586,.47163907
2018,.43751672,250.51381,1.4584112,Anoka,.46565875,-.13142797
2018,.80843019,231.37621,1.458491,Anoka,.58799881,.49983332
2018,.30748025,294.41595,1.3769989,Anoka,.5506016,-.31337562
2018,.42791814,202.31674,1.3842207,Anoka,.23360293,-.29942024
2018,.42491058,250.3833,1.4289873,Anoka,.46081308,-.15046059
2018,.42013821,249.89474,1.4501923,Anoka,.46332011,-.14861028
2018,.49667665,234.41011,1.3914676,Anoka,.44229269,-.041335944
2018,.37242961,247.66072,1.4345498,Anoka,.47936571,-.15680084
2018,.40400288,210.60393,1.5938431,Anoka,.40484956,-.08062119
2018,.49533138,189.48178,1.5676669,Anoka,.13599071,-.33727467
2018,.42687583,250.00969,1.4702262,Anoka,.4686566,-.13417359
2018,.39121443,248.97652,1.4512595,Anoka,.4647795,-.16900769
2018,.81655538,229.04538,1.4548769,Anoka,.54499435,.44799319
2018,.51535499,239.73746,1.503388,Anoka,.51144141,.064419247
2018,.34296724,187.0609,1.1105883,Anoka,.013413701,-.667642
2018,.38325694,247.67668,1.4419808,Anoka,.47119507,-.1600851
2018,.63905758,208.83887,1.3765942,Anoka,.37784988,.10234661
2018,.41826123,228.30702,1.4847842,Anoka,.54387802,.078608483
2018,.46195793,204.39073,1.3136954,Anoka,.36809069,-.058290169
2018,.44212186,248.2809,1.4719623,Anoka,.48585051,-.084159292
2018,.43233374,249.27527,1.4745251,Anoka,.47253314,-.11945299
2018,.42855558,247.25687,1.4935188,Anoka,.48365644,-.095719896
2018,.42510974,247.30424,1.4928657,Anoka,.48313239,-.099996425
2018,.4688018,174.99042,1.3209912,Anoka,.45180851,.21761638
