year,ED_region,county,Price,Capacity,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated,t_underSA_cap,t_underSA_cap_pCCC,t_underSA_cap_FCC,t_underSA_cap_public,t_underSA_cap_HR,t_underSA_cap_pq12,region
2012,NorthCentral,Crow Wing,116.43881,13.086236,.075342469,.9041096,.020547945,0,0,1910.5905,499.81424,1240.7762,170,0,0,Greater MN
2012,Westcentral,Stevens,90.004295,11.911597,.03125,.9375,.03125,0,0,381.17111,65.037781,296.13333,20,0,0,Greater MN
2012,Southcentral,Blue Earth,114.40672,15.740016,.074626863,.91044778,.014925373,0,0,3163.7432,810.59552,1738.1476,615,0,0,Greater MN
2012,Southern,Steele,107.27512,13.496507,.03846154,.94871795,.012820513,0,0,2105.4551,503.54547,1458.9095,143,0,0,Greater MN
2012,Southcentral,Brown,96.311279,12.278367,.043859649,.93859649,.01754386,0,0,1399.7339,224.81958,1069.9143,105,0,0,Greater MN
2012,EastCentral,Chisago,131.88641,13.329654,.064814813,.93518519,0,0,0,1439.6027,471.12643,968.4762,0,0,0,MSA
2012,Central,Benton,112.56759,11.033618,.018750001,.97500002,.0062500001,0,0,1765.3789,216.28845,1515.0905,34,0,0,Greater MN
2012,NorthCentral,Cass,92.978256,21.861647,.03773585,.81132078,.1509434,0,0,1158.6672,64.281525,407.38571,687,0,0,Greater MN
2012,Northwest,Roseau,85.414085,10.14213,0,.94444442,.055555556,0,0,730.23334,0,634.23334,96,0,0,Greater MN
2012,Southcentral,Watonwan,85.359993,13.330995,.09375,.875,.03125,0,0,426.59183,131.32516,278.26666,17,0,0,Greater MN
2012,Westcentral,Douglas,102.49516,11.897982,.020547945,.9520548,.02739726,0,0,1737.1053,208.18147,1382.9238,146,0,0,Greater MN
2012,Arrowhead,Cook,82.112549,10.09876,.1,.60000002,.30000001,0,0,100.9876,22.687599,53.299999,25,0,0,Greater MN
2012,Arrowhead,Itasca,95.98056,13.94409,.048192769,.81927711,.13253012,0,0,1157.3595,159.48802,656.87146,341,0,0,Greater MN
2012,Southwest,Cottonwood,92.216507,10.655681,.025641026,.92307693,.051282052,0,0,415.57153,24.200106,353.37143,38,0,0,Greater MN
2012,Headwaters,Clearwater,77.228745,11.485714,0,.83333331,.16666667,0,0,206.74286,0,141.74286,65,0,0,Greater MN
2012,Northwest,Norman,79.726326,14.152632,.052631579,.84210527,.10526316,0,0,268.89999,69,149.89999,50,0,0,Greater MN
2012,Westcentral,Becker,106.08027,10.942733,.0086956518,.93913043,.052173913,0,0,1258.4143,30,1001.4143,227,0,0,Greater MN
2012,Southwest,Redwood,93.167107,9.6651306,0,.96774191,.032258064,0,0,599.2381,0,560.2381,39,0,0,Greater MN
2012,Arrowhead,Carlton,112.83685,14.273586,.059701491,.92537314,.014925373,0,0,956.33032,192.84459,562.48572,201,0,0,Greater MN
