year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2013,Aitkin,.45801526,0,.18320611
2017,Aitkin,.5648855,0,.62595421
2014,Aitkin,.45801526,.015267176,.27480915
2016,Aitkin,.52671754,0,.83206105
2018,Aitkin,.53435117,0,.57251906
2015,Aitkin,.50381678,0,.27480915
2012,Aitkin,.53435117,.022900764,
2017,Anoka,.62631834,.69511026,.6699425
2018,Anoka,.63878238,.78763181,.65651965
2016,Anoka,.64717162,.75215721,.61457336
2014,Anoka,.59036434,.75862896,.63590604
2012,Anoka,.53116012,.71692234,
2015,Anoka,.6344679,.81232023,.62104505
2013,Anoka,.57861936,.74328858,.60402685
2015,Becker,.51255232,0,.56485355
2012,Becker,.50209206,0,
2018,Becker,.52301258,.012552301,.6757322
2017,Becker,.52928871,.010460251,.68619245
2013,Becker,.48117155,0,.51464432
2014,Becker,.47071129,0,.65271968
2016,Becker,.50627613,.0020920502,.62552303
2013,Hubbard,.64319247,0,.32394367
2015,Hubbard,.63380283,0,.45070422
2012,Hubbard,.64319247,0,
2014,Hubbard,.65727699,0,.21126761
2016,Hubbard,.62910795,.014084507,.54929578
2017,Otter Tail,.68209875,0,.81635803
2015,Mahnomen,.56521738,0,.97826087
2017,Hubbard,.64788735,0,.47887325
2018,Hubbard,.63849765,0,.61502349
2012,Mahnomen,.82608694,0,
2018,Mahnomen,.86956519,0,.90217394
2016,Otter Tail,.62191355,0,.44907406
2014,Otter Tail,.5,0,.32716051
2018,Otter Tail,.63117284,0,.87654322
2013,Mahnomen,.84782606,0,.94565219
2013,Otter Tail,.56481481,0,.16049382
2012,Otter Tail,.58333331,0,
2017,Mahnomen,.5869565,0,.86956519
2014,Mahnomen,.51086956,0,.95652175
2015,Otter Tail,.60802472,0,.28395063
2016,Mahnomen,.5869565,0,.88043481
2017,Beltrami,.6007905,.0019762847,.51581025
2015,Beltrami,.59486169,0,.44071147
2013,Beltrami,.57707512,0,.47430831
2016,Cass,.68780488,.0097560976,.68536586
2012,Beltrami,.55928856,.011857707,
2018,Beltrami,.6007905,0,.42885375
2014,Beltrami,.59090906,.0019762847,.44466403
2016,Beltrami,.59881425,0,.52173913
2017,Cass,.7390244,.043902438,.72682929
2015,Cass,.67317075,.0097560976,.49024391
2012,Cass,.75365853,.012195121,
2014,Cass,.65853661,.058536585,.46829268
2018,Cass,.7609756,.012195121,.72926831
2013,Cass,.7390244,.0024390244,.37804878
