year,adj_supply_any,totcost_any,quality_premium,county,share_hr,access_index
2018,9.3957783e-28,143.98708,2.0532339,Aitkin,0,-.76404357
2018,.10766771,126.16787,.97901291,Aitkin,.21127382,-.25531092
2018,1.0370741e-06,143.8687,1.0938538,Aitkin,1.6597249e-06,-.76350325
2018,9.1753992e-37,145.9593,1.6756161,Aitkin,0,-.77298623
2018,.95300972,119.46347,.94844669,Aitkin,.32261771,.73500878
2018,.000094636169,151.63892,1.3716804,Aitkin,1.1514979e-32,-.79865122
2018,2.4340123e-38,146.26486,2.0058756,Aitkin,0,-.77437174
2018,.1357342,124.01926,.97943932,Aitkin,.22943087,-.19127114
2018,.34252071,9.3889084,1.1360217,Aitkin,1,1.7161589
2018,.57302886,14.971205,,Aitkin,.87604314,1.7132638
2018,.61465663,7.555582,1.1379232,Aitkin,.99999994,1.9779015
2018,.66861182,150.85472,1.1184453,Aitkin,.98571128,1.3562248
2018,.20242654,130.82249,1.1790776,Aitkin,1.4649875e-06,-.51583689
2018,.000025679085,134.4315,1.276387,Aitkin,3.9503054e-26,-.72069174
2018,.48551974,78.605888,,Aitkin,.27928022,.41770124
2018,.56994724,106.61634,.95285165,Aitkin,.43679652,.61361188
2018,.55652559,126.59879,1.2111758,Aitkin,1.1852757e-06,-.16692674
2018,.065958716,131.62952,.97948194,Aitkin,.16790487,-.38617936
2018,.41443655,119.32523,.91574085,Aitkin,.51040244,.52532125
2018,.94871187,116.59406,.93012768,Aitkin,.34428033,.77761406
2018,4.1439524e-29,139.04652,1.2442116,Aitkin,4.7933955e-09,-.74164158
2018,1.5521748,86.735046,1.2149769,Aitkin,.50037754,1.7170799
2018,1.2160803,80.997742,1.2102261,Aitkin,.57585436,1.5471607
2018,3.5282133e-12,162.72226,1.1090494,Aitkin,1,.70192152
2018,1.8084849e-07,136.1815,1.4550766,Aitkin,0,-.72865051
2018,0,134.54515,1.1589785,Aitkin,0,-.72123092
2018,.82382983,114.29589,.93181998,Aitkin,.37728703,.72292739
2018,.60036886,107.06972,.94723904,Aitkin,.44111085,.64657778
2018,.88446707,4.6329989,1.1421914,Aitkin,.99988413,2.242238
2018,0,102.33401,,Aitkin,0,-.57517564
2018,.52537346,7.5781908,,Aitkin,.95216131,1.8204592
2018,1.6964465,89.610382,1.2125677,Aitkin,.45760456,1.7720597
2018,.50481772,4.5395441,,Aitkin,.98556113,1.8668951
2018,4.1415399e-23,25.02783,,Aitkin,1,1.3262707
2018,1.4052777e-14,157.38893,1.3581015,Aitkin,0,-.8248117
2018,9.0780430e-26,143.48708,1.1991243,Aitkin,8.4378399e-08,-.76177627
2018,1.6821876,89.463501,1.2123287,Aitkin,.46043611,1.7638383
2018,.53084755,7.3211794,,Aitkin,.94635421,1.8177161
2018,1.4915051e-10,163.3439,.97276098,Aitkin,.00036228428,-.85125154
2018,.20934607,139.56876,1.0296711,Aitkin,.047495544,-.47539189
2018,1.6936876,88.705917,1.203046,Aitkin,.4803623,1.8088868
2018,7.4082248e-22,29.489262,1.5189381,Aitkin,.96019,1.2442992
2018,1.7161508,84.947807,1.2017848,Aitkin,.51307595,1.8975825
2018,.70335466,109.01329,.93619949,Aitkin,.43738252,.72788948
2018,.011976175,155.46901,1.1147181,Aitkin,.99979788,.74564946
2018,.05175174,133.9895,.98040301,Aitkin,.14861116,-.44003358
2018,1.4077379,62.794529,1.2090588,Aitkin,.67958707,1.9690639
2018,1.1106567,119.04747,.93292814,Aitkin,.30161685,.85113513
2018,.78595585,122.0045,1.0456618,Aitkin,.19723372,.373456
2018,4.0835228e-11,162.22226,1.1094223,Aitkin,1,.70418864
2018,1.423545,41.222267,1.1746199,Aitkin,.83084464,2.3161876
2018,1.0255209,117.28303,.92317152,Aitkin,.33538106,.8322174
2018,.067341618,133.01886,.98460567,Aitkin,.15111734,-.41722724
2018,.40551031,136.2308,1.1224829,Aitkin,4.8215970e-06,-.35123041
2018,1.7529947e-36,145.90375,1.6758734,Aitkin,0,-.77273434
2018,.84268254,112.89337,.91852897,Aitkin,.40241021,.78580761
2018,5.8190346e-09,137.15373,1.2706987,Aitkin,0,-.73305905
2018,.13955806,9.9722424,,Aitkin,1,1.5245025
2018,0,123.03586,,Aitkin,0,-.66904426
2018,.020692915,155.07806,1.1150389,Aitkin,.99966913,.75534004
2018,0,127.43505,,Aitkin,0,-.68899155
2018,.094407678,127.44336,.97827703,Aitkin,.20228334,-.28738648
2018,2.6491585,132.37357,,Aitkin,0,1.7556762
2018,.000026064628,137.04707,1.1585641,Aitkin,3.3834237e-11,-.73255116
2018,.5478754,106.61077,.95368516,Aitkin,.43367198,.58823663
2018,1.0562377,61.903873,,Aitkin,.42477697,1.2505746
2018,1.4218313,85.239594,1.2113705,Aitkin,.52554584,1.6415106
2018,.5378139,8.2010717,,Aitkin,.93461061,1.8020005
2018,.072532721,11.055577,,Aitkin,1,1.4571722
2018,1.6536884,89.146973,1.2120798,Aitkin,.46616697,1.7476214
2018,.0038459285,149.41039,.9917044,Aitkin,.033129033,-.73367256
2018,.72776926,132.01375,1.1198944,Aitkin,.011169706,-.01468571
2018,.000020224425,155.43153,.96879774,Aitkin,.14722526,-.58758342
2018,1.5096713e-07,18.638926,1.4555722,Aitkin,1,1.3552401
2018,.0068171769,147.58444,.98965782,Aitkin,.045817722,-.70294708
2018,1.1120902,134.11113,1.1971833,Aitkin,2.4461423e-22,.3163844
2018,.91504073,122.46909,1.0206503,Aitkin,.18973066,.47992465
2018,.0055051637,148.08066,.99033749,Aitkin,.042451996,-.71163887
2018,.64860129,107.86725,.93978089,Aitkin,.44463298,.69334114
2018,0,133.22963,,Aitkin,0,-.71526599
2018,1.8776927e-12,138.98706,1.5135005,Aitkin,0,-.74137193
2018,9.4840374e-08,136.37595,1.4530019,Aitkin,0,-.72953224
2018,1.622607,88.620735,1.214424,Aitkin,.47320259,1.7319742
2018,1.0426433,60.992405,,Aitkin,.43421224,1.2566808
2018,1.0528797,61.678383,,Aitkin,.42711559,1.2520968
2018,.87163597,113.63617,.90846163,Aitkin,.40346912,.81104505
2018,.70348972,109.00858,.93621641,Aitkin,.43740395,.72806978
2018,1.087504,119.58746,.94836891,Aitkin,.2831198,.79843801
2018,.7154814,110.68261,.9229995,Aitkin,.43628699,.72991437
2018,.6656394,108.15294,.93863636,Aitkin,.44375041,.70654386
2018,.18061894,132.48201,1.0041075,Aitkin,.13150577,-.33971804
2018,.27184004,111.45939,.9697659,Aitkin,.35205734,.18261276
2018,.58573532,108.71598,.95184124,Aitkin,.41190428,.58018851
2018,.00038131233,15.666698,1.1304086,Aitkin,1,1.3690721
2018,.0092762262,134.0311,1.1612148,Aitkin,2.9584888e-07,-.71026105
2018,1.0302546,124.75319,1.1018778,Aitkin,.00054227619,.28344679
2018,.41751578,8.8889074,1.1365355,Aitkin,1,1.7882662
2018,.85560781,125.0394,.999066,Aitkin,.21607237,.45377621
2018,6.4578571e-06,159.02779,1.1118662,Aitkin,.99999934,.71867841
2018,.64757377,107.68533,.94225758,Aitkin,.44410804,.69239497
2018,8.6407586e-32,27.250055,1.6086172,Aitkin,1,1.3161944
2018,.80168772,111.71586,.91217524,Aitkin,.42902029,.79423988
2018,.059398871,134.36766,.98421824,Aitkin,.14164996,-.44542304
2018,1.4160312,133.7375,1.1305296,Aitkin,.000057172598,.60121584
2018,.80177915,122.80984,1.0589263,Aitkin,.17246912,.34613216
2018,.52414405,7.1989779,,Aitkin,.95500743,1.8254479
2018,0,129.75322,,Aitkin,0,-.69950283
2018,.56440037,123.40492,1.3062631,Aitkin,.000032033593,-.14506343
2018,1.7199883e-18,141.34824,1.202334,Aitkin,2.0626856e-06,-.75207508
2018,1.6654853e-14,139.87596,1.2654305,Aitkin,0,-.74540251
2018,0,112.9725,1.8746603,Aitkin,0,-.62341386
2018,1.3121860e-06,135.54262,1.2739164,Aitkin,7.1151887e-30,-.72575253
2018,.75273192,6.4169745,1.1392678,Aitkin,.99999821,2.1116459
2018,2.1080988e-15,135.20641,1.2437232,Aitkin,.0065290225,-.71410334
2018,.54214203,108.76083,.86441797,Aitkin,.59135365,.81769931
2018,.35107562,9.468401,1.1432139,Aitkin,.99927586,1.7226423
2018,6.2498525e-13,163.05559,1.1001842,Aitkin,1,.70041007
2018,1.2067484,80.920052,1.2101458,Aitkin,.57609099,1.5391895
2018,.41751578,8.8889074,1.1365292,Aitkin,1,1.7882662
2018,.84589142,112.98561,.91833967,Aitkin,.40137026,.7867648
2018,.58386493,108.71907,.95197922,Aitkin,.41155764,.5778951
2018,.79290104,111.47758,.90433329,Aitkin,.44121146,.80604511
2018,1.4139507,48.831703,1.2066693,Aitkin,.75005299,2.1474481
2018,.51248032,117.70165,.89185286,Aitkin,.52454209,.64591694
2018,1.0891829,119.46777,.94548237,Aitkin,.28722987,.80691862
2018,.50702971,124.29273,1.3040729,Aitkin,3.7833099e-06,-.20255998
2018,.6096251,106.99779,.94751132,Aitkin,.44285858,.65823448
2018,.52192676,106.52884,.95697504,Aitkin,.42847818,.55638796
2018,1.5476787e-10,138.04773,1.2069778,Aitkin,.0001790126,-.73683512
2018,.055851135,134.84415,.98409075,Aitkin,.13824451,-.45616901
2018,.13605389,141.13388,1.0860205,Aitkin,.000032323147,-.62435436
2018,.34632483,220.91988,1.3830161,Anoka,.45993197,-.077045612
2018,.22362831,208.93976,1.1208558,Anoka,.23957993,-.4787342
2018,.71521699,197.54904,1.5193439,Anoka,.30144507,.1266603
2018,.40682739,241.62785,1.4532888,Anoka,.50040758,-.051823985
2018,.34327278,220.72826,1.3792622,Anoka,.45681679,-.083850384
2018,.4969787,199.13736,1.5452654,Anoka,.39094445,.055027414
2018,.66681057,214.84319,1.4024452,Anoka,.40813133,.16862571
2018,.21178623,189.0955,1.3980249,Anoka,.38296828,-.17739898
2018,.40082568,222.7859,1.388252,Anoka,.474915,-.011514773
2018,.39343673,239.5475,1.5177358,Anoka,.50803083,-.043038201
2018,.81759816,217.34261,1.345266,Anoka,.67609107,.71329844
2018,.687172,186.21468,.89544433,Anoka,.0083559435,-.30262005
2018,.28443685,219.32672,1.3330166,Anoka,.61741018,.11677984
2018,.49437323,240.00891,1.4983059,Anoka,.50455713,.043480534
2018,.40512905,212.4951,1.4966857,Anoka,.42449516,-.039042473
2018,.92690241,228.73412,1.4555881,Anoka,.53176796,.53960365
2018,.25315326,208.61375,1.4382144,Anoka,.59311926,.098549344
2018,.44688979,253.62685,1.1910739,Anoka,.32745469,-.33715799
2018,.7768479,231.18034,1.460394,Anoka,.57992911,.46346554
