year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2018,Aitkin,.53435117,0,.51908398
2018,Anoka,.63878238,.78763181,.6800096
2018,Becker,.52301258,.012552301,.5460251
2018,Hubbard,.63849765,0,.46948355
2018,Mahnomen,.86956519,0,.80434781
2018,Otter Tail,.63117284,0,.30092594
2018,Beltrami,.6007905,0,.35968378
2018,Cass,.7609756,.012195121,.48780489
2018,Benton,.35692307,.015384615,.089230768
2018,Morrison,.5487805,.0073170732,.4292683
2018,Big Stone,.3611111,0,.097222224
2018,Lac qui Parle,.51086956,.021739131,.097826086
2018,Traverse,.35294119,0,.088235296
2018,Blue Earth,.39317507,.0089020776,.36201781
2018,Le Sueur,.32317072,0,.085365854
2018,Waseca,.90454543,0,.0045454544
2018,Faribault,.48412699,0,.35714287
2018,Brown,.18670887,0,.21518987
2018,Redwood,.51592356,0,.19745223
2018,Carlton,.44067797,.0028248588,.70056498
2018,Carver,.5514223,.79722828,.39022613
2018,Chippewa,.41139239,0,.30379745
2018,Chisago,.68948245,.071786307,.21535893
2018,Washington,.55784577,.58377659,.47340426
2018,Isanti,.67441863,.025839793,.48837209
2018,Pine,.76408452,.0070422534,.46126762
2018,Clay,.39030024,0,.090069287
2018,Clearwater,.69,0,.25
2018,Cook,.46875,.03125,.125
2018,Cottonwood,.46927375,0,.31843576
2018,Jackson,.40458015,0,.36641222
2018,Watonwan,.9297297,0,.086486489
2018,Crow Wing,.53228122,.014347202,.41893831
2018,Mille Lacs,.57186544,0,.41896024
2018,Dakota,.51442212,.90928984,.47006166
2018,Dodge,.48878923,0,.017937221
2018,Olmsted,.23467231,.56342494,.66966176
2018,Douglas,.37122971,.0069605568,.24361949
2018,Pope,.68907565,.0084033618,.050420169
2018,Grant,.50666666,0,.54666668
2018,Fillmore,.43891403,0,.2081448
2018,Mower,.91101694,0,.84322035
2018,Houston,.37378642,0,.43689319
2018,Winona,.39130434,.0068649887,.13729978
2018,Freeborn,.54802263,0,.60451978
2018,Goodhue,.48326361,.025104603,.30753139
2018,Hennepin,.49618375,.97284603,.7973727
2018,Itasca,.59071732,.0021097045,.6392405
2018,Kanabec,.58677685,0,.33057851
2018,Kandiyohi,.48468468,0,.43603605
2018,Stearns,.46746576,.024543379,.30993152
2018,Meeker,.48760331,0,.47933885
2018,Marshall,.6857143,.01904762,.028571429
2018,Kittson,.49056605,0,.16981132
2018,Koochiching,.93442625,0,.090163931
2018,Yellow Medicine,.48780489,0,.23577236
2018,Lake,.99264705,0,.20588236
2018,Lake of the Woods,.56666666,0,.53333336
2018,Roseau,.55813956,.0046511628,.018604651
2018,Lincoln,.45161289,0,.37096775
2018,Pipestone,.23636363,0,.11515152
2018,Lyon,.17921147,.0071684588,.16845877
2018,McLeod,.2609756,.0024390244,.22195122
2018,Sibley,.62702703,0,.14594595
2018,Martin,.23873875,0,.11711711
2018,Wright,.70344484,.21617573,.26110834
2018,Murray,.57352942,0,.014705882
2018,Nicollet,.37659034,0,.091603056
2018,Nobles,.872549,0,.66666669
2018,Norman,.43055555,0,.45833334
2018,Wadena,.50666666,0,.42666668
2018,Pennington,.26136363,0,.028409092
2018,Polk,.29238328,.0098280096,.60442263
2018,Ramsey,.85449159,.99079847,.96865255
2018,Red Lake,.35714287,0,.21428572
2018,Renville,.61038959,0,.29870129
2018,Rice,.74598932,.026737968,.35561496
2018,Steele,.23111111,.0044444446,.15555556
2018,Rock,.40517241,0,.034482758
2018,St. Louis,.6376459,.024805447,.38959143
2018,Scott,.4887805,.70048779,.070243903
2018,Sherburne,.59819967,.24795417,.10310966
2018,Stevens,.52040815,0,.44897959
2018,Swift,.31746033,0,.22222222
2018,Todd,.76073617,0,.36503068
2018,Wabasha,.41255605,0,.14349777
2018,Wilkin,.25862068,0,.068965517
