year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2015,20921,16279,Anoka,.27980688,.51862252,.24931757,.24096163,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,-.13625255,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.37866938,.63634729,.49072158,.15383253,.32713521,.23706532,.15747429,.29747128,.21875991,.047014721,.16202217,.11418243,.0019895537,.040644791,.019608069,181.68742,208.50055,197.66519,239.60861,265.16077,255.52007,237.47369,284.22687,262.73053,6.5319986,11.883955,8.5287485,1.2848952,1.5047485,1.4203088,-.36131048,.026969366,-.11149505,.15922455,.38389093,.31032348,87,65,8,79,8,83,13,80,81,77,78,20,42,46,48,5,49,41,10
2016,20921,16279,Anoka,.32844239,.49618739,.24248429,.22012784,.1379052,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,-.1083061,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.37042153,.59993702,.47460401,.159219,.32120025,.24259803,.14082621,.27450258,.2023159,.063064128,.19309288,.13160008,.0044112233,.048974544,.029109687,180.44701,214.69644,202.09698,245.82202,276.85126,269.77802,246.81914,288.00623,268.82495,6.6513705,11.067533,8.0031948,1.2270753,1.4794221,1.4124749,-.33509183,.080008581,-.047999233,.20292422,.46205926,.38350022,87,64,10,78,9,81,16,79,81,65,69,16,47,44,49,7,46,43,11
2017,20921,16279,Anoka,.38090444,.50070536,.25125629,.19989462,.1529417,.049911372,193.84897,260.40433,255.8322,9.9609709,1.3434887,-.074345894,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.37296522,.61393595,.49073446,.16223034,.33286351,.2502363,.13456398,.24699773,.18592855,.080168158,.20624572,.14513013,.0044289278,.075140908,.037778653,169.01398,212.19974,195.17215,246.36186,276.10022,267.3826,240.53207,284.84045,269.00134,6.8462391,11.060246,8.2911034,1.2626737,1.4814644,1.3935885,-.32700652,.18554005,-.036149785,.275819,.51462662,.44320291,87,58,11,80,9,76,14,78,81,46,72,14,52,40,50,10,41,46,13
2018,20921,16279,Anoka,.37084943,.47385463,.25140443,.18887171,.15180382,.033578508,219.2216,286.48306,281.8735,9.8093386,1.3662646,-.088741049,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.34850109,.58293796,.45813495,.16733338,.32988331,.24683186,.12604463,.23331335,.1766468,.081926301,.20636186,.14439318,.0039345673,.04868345,.029592596,200.36966,239.96075,221.29646,268.39014,306.935,293.34753,268.33527,315.41815,294.52679,6.626996,11.076544,7.9953823,1.2805959,1.503365,1.4206489,-.29855961,.084396563,-.057090394,.27526194,.50764132,.42250502,87,60,11,79,5,79,12,77,81,78,76,22,65,40,53,7,41,47,12
2012,2630,2129,Becker,.11719341,.60416424,.015841754,.47226402,0,.11605844,107.08465,346.47665,,36.426556,,.6589036,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.043060802,1.0231338,.53008753,0,.0071641998,6.1083703e-27,.026061265,.80787385,.42927676,0,0,0,0,.20488018,2.4412875e-06,101.47416,122.40601,109.74812,211.75003,427.73639,225.86118,,,,6.5854053,41.861195,17.361145,,,,-.11448872,1.3480442,.53463662,0,.20304236,.000048493104,87,41,73,34,44,14,21,38,43,68,,23,,78,3,19,57,36,7
2013,2630,2129,Becker,.25088561,.64036125,.023335047,.50096893,.075674817,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842,.57763433,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.049341805,1.0846506,.58415079,0,.026724409,2.3379399e-25,.030101098,.87380517,.49740553,1.0308972e-38,.15859884,.007012506,0,.20487994,8.2573399e-07,104.5653,123.16586,113.74084,178.84431,203.26823,183.6795,131.299,150.36826,142.66469,6.5853882,30.583393,18.027813,1.0355884,1.2226942,1.1553364,-.22456245,1.2567054,.42762935,5.1933722e-07,.35408846,.1214394,87,39,73,35,12,16,5,8,45,59,14,52,12,78,4,18,56,37,7
2014,2630,2129,Becker,.34472132,.68713516,.04140301,.47532994,.10925473,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044,.66867363,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.028451489,1.1699584,.68774307,0,.058185648,4.5761485e-12,.012411121,.82239199,.42865539,4.7958562e-17,.18770307,.031982765,5.2334231e-30,.3042219,.00062260841,98.966026,123.75545,111.66467,172.99693,203.15717,181.40007,131.86386,149.65736,140.07863,5.4814987,26.611164,15.115677,1.0532571,1.2445281,1.1171632,-.27807769,1.3278399,.80564564,.00010158165,.46163914,.3365491,87,38,66,36,11,11,5,8,42,56,18,66,14,69,6,25,51,40,10
2015,2630,2129,Becker,.2898834,.67100346,.070445463,.44195884,.088227257,.15859917,107.11186,198.14806,154.39323,18.19488,1.2147795,.51791447,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.0076262956,1.2385947,.52087367,0,.14649795,7.6366006e-12,.0016643445,.7363075,.41476762,1.0938458e-30,.15897785,.002216714,2.2586641e-30,.31111982,.00021325517,105.23296,125.13893,114.1584,174.51288,217.91678,186.16824,142.13892,162.12144,150.59924,5.7084198,26.833054,15.74784,1.1161078,1.2751987,1.1656661,-.47574663,1.3917056,.3055369,5.3789827e-11,.38654235,.21215397,87,34,55,36,15,14,10,12,48,62,33,72,25,66,10,24,49,41,10
2016,2630,2129,Becker,.33855525,.5972293,.057008378,.40892953,.1127699,.13129139,110.85967,199.02945,148.94498,31.172316,1.0363114,.48599538,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.0022396848,1.0721155,.53129393,0,.099133015,7.9081884e-15,.00002746103,.68712968,.37066814,8.3866751e-25,.2148634,.0060902908,1.1596553e-31,.21454211,.000083014558,112.09037,129.29478,118.78262,187.07326,209.00511,197.30597,132.87076,150.13672,136.75999,5.340601,27.055609,15.720102,.915681,1.1203425,.99892163,-.40727654,1.2186801,.61472648,2.1656335e-07,.47674271,.36419386,87,41,60,38,16,29,13,18,41,40,18,67,5,68,10,22,46,43,11
2017,2630,2129,Becker,.40194616,.58941388,.067961842,.37553427,.14549866,.14591774,106.99417,422.51248,153.43526,64.438995,1.1462771,.49623951,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.0020812368,1.1078011,.46496356,0,.11547606,6.3594493e-16,.000023150242,.64054543,.34023952,3.0436821e-24,.26513246,.009263508,1.4229401e-31,.2665675,.000091795941,110.1024,127.20775,119.2299,195.99924,769.72858,211.54056,132.52676,168.36568,152.16418,5.3838429,27.055609,15.729695,1.0097975,1.2719171,1.2227477,-.32001659,1.2977326,.67158961,.000041459927,.64149171,.40558964,87,40,58,35,10,24,11,14,42,74,29,75,26,64,12,25,41,46,13
2018,2630,2129,Becker,.39980316,.53452891,.034399264,.36146343,.12088495,.13866618,112.02175,225.55208,163.08945,17.97163,1.258368,.49874473,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.0020096558,.8985942,.48786902,0,.027817491,7.6036830e-33,.000022497825,.59196544,.34397078,1.9483833e-29,.24097729,.00086631736,2.2605377e-30,.1844946,.00020284917,113.90356,131.80176,120.79846,204.66669,239.38693,220.6796,139.7269,167.98825,161.13881,5.1060309,26.833584,15.486147,1.1093208,1.3156354,1.2730936,-.31812209,1.150564,.53892243,.000061974657,.60947931,.47867098,87,42,65,39,12,25,8,12,43,62,45,68,54,68,6,26,41,47,12
