year,uni_nam,s_uni_nam_N_below_supply,s_uni_nam_N_above_cost,s_uni_nam_N_below_quality
2017,Deer River,.70454544,0,.47727272
2012,Deer River,.56818181,.022727273,
2020,Deer River,.5,0,.47727272
2014,Deer River,.72727275,0,.47727272
2015,Deer River,.45454547,0,.47727272
2016,Deer River,.5,0,.47727272
2013,Deer River,.79545456,0,.47727272
2019,Deer River,.47727272,0,.47727272
2013,Delano,.39622641,.47798741,0
2017,Delano,.7672956,.2327044,0
2016,Delano,.49685535,.12578617,.006289308
2019,Delano,.3836478,.08176101,.67295599
2015,Delano,.33962265,.11949685,.006289308
2020,Delano,.32704404,.012578616,.71698111
2018,Delano,.6981132,.82389939,0
2012,Delano,.72955972,.044025157,
2014,Delano,.40251571,.33962265,0
2016,Detroit Lakes,.4180328,0,.50819671
2014,Detroit Lakes,.39754099,0,.57377046
2020,Detroit Lakes,.4180328,0,.56967211
2018,Detroit Lakes,.42213115,0,.50409836
2015,Detroit Lakes,.38114753,0,.48770493
2019,Detroit Lakes,.52459013,0,.52868855
2013,Detroit Lakes,.36475411,0,.5942623
2012,Detroit Lakes,.39754099,0,
2017,Detroit Lakes,.41393444,0,.50819671
2019,Dilworth-Glyndon-Felton,.90517241,0,.02586207
2013,Dilworth-Glyndon-Felton,.60344827,0,.017241379
2016,Dilworth-Glyndon-Felton,.64655173,.0086206896,0
2015,Dilworth-Glyndon-Felton,.76724136,0,0
2020,Dilworth-Glyndon-Felton,.69827586,0,.034482758
2017,Dilworth-Glyndon-Felton,.62931037,0,.0086206896
2014,Dilworth-Glyndon-Felton,.67241377,0,0
2018,Dilworth-Glyndon-Felton,.62068963,0,0
2012,Dilworth-Glyndon-Felton,.58620691,.034482758,
2015,Dover-Eyota,.27659574,0,0
2019,Dover-Eyota,.29787233,0,.70212764
2018,Dover-Eyota,.21276596,0,.85106385
2013,Dover-Eyota,.17021276,0,0
2012,Dover-Eyota,.17021276,.021276595,
2020,Dover-Eyota,.29787233,0,.70212764
2017,Dover-Eyota,.25531915,0,.85106385
2016,Dover-Eyota,.27659574,0,.12765957
2014,Dover-Eyota,.19148937,0,0
2016,Duluth,.56157112,.098726116,.018046709
2019,Duluth,.53609341,.0053078556,.35244161
2013,Duluth,.44373673,0,.35562631
2017,Duluth,.53290868,0,.35244161
2015,Duluth,.50212312,0,.25583863
2014,Duluth,.45116773,0,.3195329
2012,Duluth,.40870488,.0042462847,
2018,Duluth,.57855624,.046709128,.18577495
2020,Duluth,.5191083,.091295116,.37261146
2014,Eagle Valley,.75757575,0,.24242425
2013,Eagle Valley,.75757575,0,.24242425
2015,Eagle Valley,.75757575,0,.24242425
2018,Eagle Valley,.75757575,0,.24242425
2017,Eagle Valley,.75757575,0,.24242425
2020,Eagle Valley,.78787881,0,.24242425
2012,Eagle Valley,.75757575,0,
2019,Eagle Valley,.78787881,0,.24242425
2016,Eagle Valley,.75757575,0,.24242425
2013,East Central,.88524592,.065573767,0
2012,East Central,.88524592,.081967212,
2020,East Central,.88524592,0,.065573767
2019,East Central,.88524592,0,.081967212
2017,East Central,.88524592,.032786883,.081967212
2018,East Central,.88524592,.032786883,.081967212
2016,East Central,.88524592,.081967212,.081967212
2015,East Central,.86885244,0,.13114753
2014,East Central,.86885244,.049180329,.13114753
2014,East Grand Forks,.090909094,0,.64285713
2013,East Grand Forks,.064935066,0,.64285713
2019,East Grand Forks,.14285715,0,.55844158
2016,East Grand Forks,.11038961,.0064935065,.55844158
2012,East Grand Forks,.077922076,0,
2017,East Grand Forks,.1038961,.0064935065,.59090906
2015,East Grand Forks,.071428575,0,.64285713
2018,East Grand Forks,.13636364,0,.62987012
2020,East Grand Forks,.12987013,0,.31818181
2020,Eastern Carver County,.45703611,1,.60772103
2018,Eastern Carver County,.51307595,.96513075,.56662518
2014,Eastern Carver County,.5305106,.92777085,.37733498
2019,Eastern Carver County,.52552927,1,.57160646
2017,Eastern Carver County,.47571605,1,.58904111
2012,Eastern Carver County,.52179325,.99626398,
2015,Eastern Carver County,.47945204,.98132002,.58655041
2016,Eastern Carver County,.48941469,.97633874,.58281446
2013,Eastern Carver County,.53798258,.94894147,.44831881
2020,Eden Prairie,.35384616,.99846154,.61076921
2014,Eden Prairie,.45384616,1,.79538459
2019,Eden Prairie,.39076924,.99846154,.56923079
2017,Eden Prairie,.37384614,.99846154,.72615385
2018,Eden Prairie,.34769231,.99846154,.75076926
2015,Eden Prairie,.48615384,.99846154,.77230769
2013,Eden Prairie,.48923078,1,.77999997
2016,Eden Prairie,.3876923,.99846154,.79538459
2012,Eden Prairie,.57538462,.99846154,
2012,Eden Valley-Watkins,.43902439,0,
2018,Eden Valley-Watkins,.34146342,0,.53658539
2020,Eden Valley-Watkins,.36585367,0,.51219511
2016,Eden Valley-Watkins,.39024389,0,.53658539
2017,Eden Valley-Watkins,.36585367,0,.53658539
2015,Eden Valley-Watkins,.39024389,0,.53658539
2013,Eden Valley-Watkins,.41463414,0,0
2014,Eden Valley-Watkins,.39024389,0,.53658539
2019,Eden Valley-Watkins,.31707317,.024390243,.51219511
2014,Edgerton,.41935483,0,0
2013,Edgerton,.32258064,0,0
2019,Edgerton,.3548387,0,.61290324
2015,Edgerton,.38709676,0,0
2016,Edgerton,.3548387,0,.58064514
2012,Edgerton,.41935483,0,
2017,Edgerton,.3548387,0,.58064514
2018,Edgerton,.3548387,0,.58064514
2020,Edgerton,.32258064,0,.064516127
2013,Edina,.88478261,1,.86739129
2017,Edina,.43043479,1,.92391306
2016,Edina,.49130434,1,.90217394
2015,Edina,.47608694,1,.85869563
2012,Edina,.80217391,1,
2019,Edina,.54782611,1,.8347826
2020,Edina,.37826088,1,.86739129
2014,Edina,.61086959,1,.78043479
2018,Edina,.39782608,1,.90652174
2018,Elk River,.62410074,.48201439,.11780576
2012,Elk River,.58902878,.44424459,
2015,Elk River,.61330932,.38129497,.17715827
2019,Elk River,.60881293,.55665469,.12589929
2016,Elk River,.61330932,.44784173,.12859713
2014,Elk River,.61241007,.46223021,.1852518
2020,Elk River,.60161871,.63579136,.23741007
2013,Elk River,.59982014,.35341728,.25539568
2017,Elk River,.64028776,.45053956,.10971223
2020,Ellsworth,.11111111,0,.8888889
2015,Ellsworth,.8888889,0,0
2014,Ellsworth,1,0,0
2012,Ellsworth,1,0,
2017,Ellsworth,.11111111,0,.8888889
2019,Ellsworth,.11111111,0,.8888889
2013,Ellsworth,1,0,0
2016,Ellsworth,.8888889,0,0
2018,Ellsworth,.11111111,0,.8888889
2012,Ely,.30952382,.071428575,
2013,Ely,.23809524,.023809524,.73809522
2018,Ely,.33333334,.071428575,0
2019,Ely,.90476191,.071428575,0
2015,Ely,.23809524,.071428575,0
2016,Ely,.26190478,0,0
2020,Ely,1,.071428575,0
2017,Ely,.88095236,.071428575,0
2014,Ely,.23809524,.071428575,0
2015,Esko,.54545456,0,.34090909
2020,Esko,.56818181,0,.54545456
2012,Esko,.47727272,0,
2016,Esko,.59090906,0,.34090909
2019,Esko,.52272725,.20454545,.54545456
2014,Esko,.43181819,0,.34090909
2017,Esko,.45454547,.022727273,.38636363
2013,Esko,.45454547,0,0
2018,Esko,.47727272,.022727273,.38636363
2015,Eveleth-Gilbert,.7631579,0,.18421052
2019,Eveleth-Gilbert,1,0,.01754386
2014,Eveleth-Gilbert,.7631579,.052631579,.23684211
2018,Eveleth-Gilbert,.99122804,0,.01754386
2020,Eveleth-Gilbert,.99122804,0,.02631579
2017,Eveleth-Gilbert,.99122804,0,.02631579
2013,Eveleth-Gilbert,.78947371,.02631579,.22807017
2012,Eveleth-Gilbert,.94736844,0,
2016,Eveleth-Gilbert,.78070176,0,.02631579
2014,Fairmont Area,.11678832,0,0
2019,Fairmont Area,.29197079,0,.02189781
2012,Fairmont Area,.10948905,0,
2015,Fairmont Area,.11678832,0,0
2020,Fairmont Area,.28467155,0,.02189781
2016,Fairmont Area,.11678832,0,0
2017,Fairmont Area,.12408759,0,.02919708
2018,Fairmont Area,.16788322,0,.02919708
2013,Fairmont Area,.10948905,0,0
2013,Faribault,.95431471,0,0
2016,Faribault,.96954316,.007614213,0
2020,Faribault,.98477155,.007614213,.012690355
2018,Faribault,.96446699,.005076142,.24111675
2012,Faribault,.91370559,.02284264,
2019,Faribault,.97208124,.015228426,.010152284
2015,Faribault,.9492386,.007614213,0
2014,Faribault,.97208124,0,0
2017,Faribault,.97208124,.005076142,.030456852
2017,Farmington,.49512669,.33918127,.46003899
2015,Farmington,.8888889,.5516569,.03508772
2014,Farmington,.64912283,.62378168,.03508772
2016,Farmington,.60428852,.36452243,.097465888
2019,Farmington,.41325536,.41520467,.39961013
2013,Farmington,.66666669,.61403507,.076023392
2018,Farmington,.92202729,.64522415,.021442495
2020,Farmington,.73294348,.84015596,.0038986355
2012,Farmington,.64522415,.6276803,
2013,Fergus Falls,.40711462,0,0
2015,Fergus Falls,.47035572,0,0
2016,Fergus Falls,.49407116,0,0
2019,Fergus Falls,.64822137,0,0
2020,Fergus Falls,.5731225,0,0
2012,Fergus Falls,.43873519,0,
2014,Fergus Falls,.45849803,0,0
2017,Fergus Falls,.61264825,0,0
2018,Fergus Falls,.50592887,0,0
2020,Fertile-Beltrami,.38235295,0,.58823532
2017,Fertile-Beltrami,.35294119,0,.58823532
2013,Fertile-Beltrami,.32352942,0,0
2012,Fertile-Beltrami,.35294119,0,
2015,Fertile-Beltrami,.38235295,0,.58823532
2018,Fertile-Beltrami,.41176471,0,.58823532
2016,Fertile-Beltrami,.41176471,0,.58823532
2019,Fertile-Beltrami,.97058821,0,.58823532
2014,Fertile-Beltrami,.35294119,0,.58823532
2016,Fillmore Central,.56603771,.52830189,0
2015,Fillmore Central,.5471698,0,0
2017,Fillmore Central,.56603771,.20754717,0
2018,Fillmore Central,.60377359,0,0
2012,Fillmore Central,.5471698,0,
2013,Fillmore Central,.52830189,0,0
2014,Fillmore Central,.5471698,0,0
2020,Fillmore Central,.58490568,0,.1509434
2019,Fillmore Central,.88679248,.13207547,.1509434
2018,Fisher,.29166666,0,.75
2015,Fisher,1,0,0
2014,Fisher,1,0,0
2013,Fisher,1,0,0
2019,Fisher,1,.041666668,.70833331
2012,Fisher,1,0,
2020,Fisher,1,0,0
2017,Fisher,.29166666,0,.70833331
2016,Fisher,.29166666,0,.75
2013,Floodwood,.45454547,0,0
2012,Floodwood,.45454547,0,
2019,Floodwood,.45454547,0,.54545456
2014,Floodwood,.45454547,0,.54545456
2020,Floodwood,.45454547,0,.54545456
2016,Floodwood,.45454547,0,.54545456
2017,Floodwood,.45454547,0,.54545456
2015,Floodwood,.45454547,0,.54545456
2018,Floodwood,.45454547,0,.54545456
2013,Foley,.3963964,0,0
2014,Foley,.42342341,0,0
2018,Foley,.36036035,0,0
2017,Foley,.38738739,0,0
2012,Foley,.4054054,0,
2016,Foley,.42342341,0,0
2015,Foley,.41441441,0,0
2019,Foley,.4054054,0,.027027028
2020,Foley,.4054054,0,.027027028
2013,Forest Lake,.61617899,.63166952,.32702237
2020,Forest Lake,.53528398,.42857143,.41652325
2019,Forest Lake,.57487088,.36144578,.42685026
2016,Forest Lake,.59380376,.36144578,.35628226
2018,Forest Lake,.57659209,.15318416,.43373495
2012,Forest Lake,.56970739,.59552497,
2017,Forest Lake,.61445785,.4130809,.40619621
2014,Forest Lake,.55593807,.50430292,.34595525
2015,Forest Lake,.56798625,.41135973,.37349397
2012,Fosston,.61702126,0,
2019,Fosston,.5106383,0,.44680852
2013,Fosston,.61702126,0,.36170211
2018,Fosston,.5106383,0,.44680852
2020,Fosston,.5106383,0,.46808511
2015,Fosston,.55319148,0,.44680852
2017,Fosston,.55319148,0,.44680852
2016,Fosston,.55319148,0,.44680852
2014,Fosston,.57446808,0,.44680852
2018,Frazee-Vergas,.58653843,0,.31730768
2016,Frazee-Vergas,.59615386,.009615385,.33653846
2019,Frazee-Vergas,.63461536,0,.29807693
2015,Frazee-Vergas,.54807693,0,.32692307
2017,Frazee-Vergas,.58653843,.048076924,.33653846
2014,Frazee-Vergas,.59615386,0,.32692307
2020,Frazee-Vergas,.61538464,0,.30769232
2013,Frazee-Vergas,.60576922,0,.067307696
2012,Frazee-Vergas,.63461536,0,
2019,Fridley,.96837944,.93280631,.39525691
2020,Fridley,.95652175,.94071144,.19762845
2013,Fridley,.91699606,.92094862,.50988144
2016,Fridley,.93280631,1,.47430831
2017,Fridley,.87351781,.91699606,.40711462
2018,Fridley,.97628456,1,.59288538
2015,Fridley,.8853755,1,.52173913
2012,Fridley,.92885375,.91699606,
2014,Fridley,.93280631,.90909094,.56521738
2018,Fulda,.46153846,0,0
2017,Fulda,.46153846,0,.46153846
2020,Fulda,.38461539,0,.46153846
2013,Fulda,.46153846,0,0
2016,Fulda,.46153846,0,.46153846
2015,Fulda,.46153846,0,0
2014,Fulda,.46153846,0,0
2019,Fulda,.46153846,0,.46153846
2012,Fulda,.46153846,0,
2013,G.F.W.,.85365856,0,0
2017,G.F.W.,.85365856,0,.20731707
2018,G.F.W.,.85365856,0,.20731707
2014,G.F.W.,.52439022,0,.68292683
2012,G.F.W.,.84146339,0,
2020,G.F.W.,.85365856,0,0
2015,G.F.W.,.51219511,0,.68292683
2019,G.F.W.,.84146339,0,.14634146
2016,G.F.W.,.87804878,0,.68292683
2012,Glencoe-Silver Lake,.25174826,0,
2020,Glencoe-Silver Lake,.36363637,0,.54545456
2014,Glencoe-Silver Lake,.25174826,0,.55944055
2017,Glencoe-Silver Lake,.27272728,0,.55244756
2018,Glencoe-Silver Lake,.37762237,.0069930069,.55244756
2019,Glencoe-Silver Lake,.36363637,.0069930069,.57342654
2015,Glencoe-Silver Lake,.24475524,0,.55944055
2016,Glencoe-Silver Lake,.26573426,0,.53846157
2013,Glencoe-Silver Lake,.24475524,0,.55944055
2014,Glenville-Emmons,.6785714,0,0
2015,Glenville-Emmons,.71428573,0,0
2018,Glenville-Emmons,.64285713,0,.2857143
2016,Glenville-Emmons,.71428573,0,.2857143
2019,Glenville-Emmons,.64285713,0,.2857143
2017,Glenville-Emmons,.6785714,0,.2857143
2013,Glenville-Emmons,.71428573,0,0
2020,Glenville-Emmons,.6785714,0,.2857143
2012,Glenville-Emmons,.6785714,0,
2014,Goodhue,.38095239,0,.47619048
2018,Goodhue,.40476191,0,0
2017,Goodhue,.42857143,0,0
2016,Goodhue,.35714287,0,0
2012,Goodhue,.33333334,0,
2020,Goodhue,.40476191,.047619049,0
2019,Goodhue,.45238096,.023809524,0
2015,Goodhue,.35714287,0,0
2013,Goodhue,.38095239,0,0
2015,Goodridge,.69999999,0,.1
2019,Goodridge,.80000001,0,.1
2018,Goodridge,.69999999,0,.1
2012,Goodridge,.80000001,0,
2017,Goodridge,.69999999,0,.1
2020,Goodridge,.80000001,0,.1
2013,Goodridge,.80000001,0,0
2016,Goodridge,.69999999,0,.1
2014,Goodridge,.69999999,0,.1
2017,Granada-Huntley-East Chain,.66666669,0,.2857143
2019,Granada-Huntley-East Chain,.61904764,0,.2857143
2018,Granada-Huntley-East Chain,.61904764,0,.2857143
2016,Granada-Huntley-East Chain,.71428573,0,.2857143
2020,Granada-Huntley-East Chain,.71428573,0,.2857143
2012,Granada-Huntley-East Chain,.95238096,0,
2015,Granada-Huntley-East Chain,.71428573,0,.2857143
2014,Granada-Huntley-East Chain,.76190478,0,.2857143
2013,Granada-Huntley-East Chain,.95238096,0,0
2016,Grand Meadow,.91666669,0,0
2018,Grand Meadow,.625,0,0
2020,Grand Meadow,.16666667,0,0
2017,Grand Meadow,.41666666,0,0
2014,Grand Meadow,.83333331,0,0
2015,Grand Meadow,.75,0,0
2012,Grand Meadow,.75,0,
2013,Grand Meadow,.125,0,0
2019,Grand Meadow,.125,0,0
2017,Grand Rapids,.61245674,.020761246,.42214534
2020,Grand Rapids,.61245674,.0034602077,.40830451
2015,Grand Rapids,.57785469,.0034602077,.48442906
2019,Grand Rapids,.60207611,.020761246,.41868511
2014,Grand Rapids,.57093424,.0034602077,.48442906
2013,Grand Rapids,.57439446,.010380623,.39446366
2018,Grand Rapids,.61937714,.0034602077,.43944636
2012,Grand Rapids,.59169549,.024221454,
2016,Grand Rapids,.61591697,.0034602077,.44290659
2019,Greenbush-Middle River,.47368422,0,.52631581
2020,Greenbush-Middle River,.57894737,0,.42105263
2013,Greenbush-Middle River,.47368422,0,.52631581
2016,Greenbush-Middle River,.47368422,0,.10526316
2018,Greenbush-Middle River,.47368422,0,0
2015,Greenbush-Middle River,.47368422,0,.10526316
2012,Greenbush-Middle River,.47368422,0,
2017,Greenbush-Middle River,.47368422,.052631579,.10526316
2014,Greenbush-Middle River,.47368422,0,.52631581
2013,Greenway,.55913979,0,.4623656
2019,Greenway,.51612902,0,.55913979
2020,Greenway,.51612902,0,.54838711
2016,Greenway,.52688169,0,.52688169
2014,Greenway,.47311828,.021505376,.63440859
2015,Greenway,.43010753,0,.61290324
2017,Greenway,.52688169,0,.54838711
2018,Greenway,.50537634,0,.58064514
2012,Greenway,.52688169,0,
2012,Grygla,.5,0,
2014,Grygla,.375,0,.375
2017,Grygla,.5,.125,.375
2015,Grygla,.25,0,.375
2018,Grygla,.875,0,0
2016,Grygla,.625,0,.375
2020,Grygla,.5,0,.375
2013,Grygla,.5,0,.375
2019,Grygla,.5,.125,.375
2012,Hancock,1,0,
2018,Hancock,1,0,0
2016,Hancock,1,0,0
2019,Hancock,1,0,0
2014,Hancock,1,0,0
2015,Hancock,1,0,0
2013,Hancock,1,0,0
2017,Hancock,1,0,0
2020,Hancock,1,0,0
2013,Hastings,.45592704,.71428573,.62613982
2020,Hastings,.53495443,.71124619,.35258359
2014,Hastings,.43465045,.72948331,.59574467
2018,Hastings,.45592704,.69300914,.54103345
2016,Hastings,.46808511,.76899695,.5592705
2017,Hastings,.5106383,.77811551,.48328269
2012,Hastings,.36778116,.71124619,
2015,Hastings,.50759876,.73252279,.58054709
2019,Hastings,.53495443,.70820671,.34650457
2014,Hawley,.32876712,0,0
2018,Hawley,.30136988,0,.6438356
2013,Hawley,.46575344,0,0
2016,Hawley,.30136988,0,.6438356
2017,Hawley,.30136988,0,.6438356
2012,Hawley,.31506848,0,
2019,Hawley,.30136988,0,.46575344
2015,Hawley,.38356164,0,0
2020,Hawley,.31506848,0,.38356164
2018,Hayfield,.90476191,0,0
2012,Hayfield,.9285714,0,
2015,Hayfield,.91666669,0,0
2016,Hayfield,.89285713,0,0
2020,Hayfield,.97619045,0,0
2019,Hayfield,.9285714,0,0
2017,Hayfield,.91666669,0,0
2014,Hayfield,.90476191,0,0
2013,Hayfield,.90476191,0,0
2013,Hendricks,.93333334,0,0
2016,Hendricks,.26666668,0,.66666669
2017,Hendricks,.26666668,0,.66666669
2012,Hendricks,.93333334,0,
2019,Hendricks,.33333334,0,.66666669
2015,Hendricks,.26666668,0,.66666669
2014,Hendricks,.26666668,0,.66666669
2020,Hendricks,.33333334,0,.66666669
2018,Hendricks,.33333334,0,.66666669
2013,Henning,.51999998,0,0
2019,Henning,.63999999,0,.28
2012,Henning,.51999998,0,
2014,Henning,.63999999,0,.28
2020,Henning,.63999999,0,.28
2017,Henning,.60000002,0,.28
2018,Henning,.60000002,0,.28
2016,Henning,.60000002,0,.28
2015,Henning,.51999998,0,.28
2014,Herman-Norcross,.875,0,0
2016,Herman-Norcross,.25,0,.625
2019,Herman-Norcross,.25,0,.625
2020,Herman-Norcross,.25,0,.625
2013,Herman-Norcross,.25,0,0
2018,Herman-Norcross,.25,0,.625
2015,Herman-Norcross,.875,0,0
2017,Herman-Norcross,.25,0,.625
2012,Herman-Norcross,.875,0,
2016,Hermantown,.59166664,.11666667,.44166666
2014,Hermantown,.57499999,0,.48333332
2019,Hermantown,.57499999,0,.42500001
2017,Hermantown,.60000002,0,.43333334
2013,Hermantown,.55833334,0,.22499999
2012,Hermantown,.61666667,0,
2015,Hermantown,.57499999,0,.47499999
2018,Hermantown,.57499999,0,.091666669
2020,Hermantown,.47499999,.091666669,.40833333
2020,Heron Lake-Okabena,.2,0,.64999998
2015,Heron Lake-Okabena,.30000001,0,0
2014,Heron Lake-Okabena,.2,0,0
2018,Heron Lake-Okabena,.30000001,0,.64999998
2017,Heron Lake-Okabena,.30000001,0,.64999998
2013,Heron Lake-Okabena,.30000001,0,0
2016,Heron Lake-Okabena,.30000001,0,.64999998
2012,Heron Lake-Okabena,.30000001,0,
2019,Heron Lake-Okabena,.2,0,.64999998
2020,Hibbing,.71153843,0,.77403843
2015,Hibbing,.58173078,0,0
2019,Hibbing,.73557693,.0048076925,.77403843
2017,Hibbing,.85576922,.009615385,.48076922
2018,Hibbing,.59615386,0,.69711536
2016,Hibbing,.87980771,.091346152,.75961536
2012,Hibbing,.60576922,.0048076925,
2013,Hibbing,.28365386,0,.76442307
2014,Hibbing,.3125,0,.61538464
2013,Hill City,.40000001,0,0
2014,Hill City,.33333334,0,.60000002
2016,Hill City,.26666668,0,.60000002
2019,Hill City,.80000001,0,.60000002
2018,Hill City,.40000001,0,.60000002
2020,Hill City,.73333335,0,.60000002
2015,Hill City,.33333334,0,.60000002
2017,Hill City,.66666669,0,.60000002
2012,Hill City,.46666667,0,
2012,Hills-Beaver Creek,.31034482,0,
2015,Hills-Beaver Creek,.86206895,0,0
2017,Hills-Beaver Creek,.86206895,0,.068965517
2013,Hills-Beaver Creek,.31034482,0,0
2018,Hills-Beaver Creek,.86206895,0,.068965517
2020,Hills-Beaver Creek,.82758623,0,.068965517
2019,Hills-Beaver Creek,.82758623,0,.068965517
2016,Hills-Beaver Creek,.51724136,0,.068965517
2014,Hills-Beaver Creek,.48275861,0,0
2012,Hinckley-Finlayson,.93670887,.075949363,
2020,Hinckley-Finlayson,.94936711,0,.037974682
2018,Hinckley-Finlayson,.94936711,0,.037974682
2017,Hinckley-Finlayson,.94936711,0,.037974682
2016,Hinckley-Finlayson,.93670887,.1392405,.037974682
2019,Hinckley-Finlayson,.93670887,0,.037974682
2014,Hinckley-Finlayson,.88607597,0,.2658228
2015,Hinckley-Finlayson,.93670887,0,.16455697
2013,Hinckley-Finlayson,.91139239,0,.012658228
2013,Holdingford,.53571427,0,0
2016,Holdingford,.48214287,0,.2857143
2018,Holdingford,.5714286,.053571429,.26785713
2014,Holdingford,.51785713,0,.30357143
2012,Holdingford,.5535714,0,
2017,Holdingford,.5,0,.17857143
2020,Holdingford,.5714286,.053571429,0
2015,Holdingford,.53571427,0,.2857143
2019,Holdingford,.5714286,.053571429,0
2012,Hopkins,.54743391,1,
2018,Hopkins,.13530326,1,.83203733
2016,Hopkins,.29393467,1,.77449453
2019,Hopkins,.17573872,1,.71539658
2014,Hopkins,.40590981,1,.74494559
2015,Hopkins,.41368586,1,.73872471
2013,Hopkins,.54121304,1,.77604979
2020,Hopkins,.1866252,1,.72472781
2017,Hopkins,.15707621,1,.86936235
2015,Houston,.38461539,0,.53846157
2017,Houston,.41025642,0,.53846157
2013,Houston,.41025642,0,0
2019,Houston,.33333334,0,.53846157
2020,Houston,.38461539,0,.53846157
2012,Houston,.38461539,0,
2014,Houston,.38461539,0,0
2016,Houston,.38461539,0,.53846157
2018,Houston,.33333334,0,.53846157
2020,Howard Lake-Waverly-Winsted,.48192772,0,.24096386
2013,Howard Lake-Waverly-Winsted,.50602412,0,.22891566
2019,Howard Lake-Waverly-Winsted,.48192772,0,.22891566
2017,Howard Lake-Waverly-Winsted,.50602412,0,.22891566
2014,Howard Lake-Waverly-Winsted,.53012049,0,.22891566
2015,Howard Lake-Waverly-Winsted,.51807231,0,.22891566
2012,Howard Lake-Waverly-Winsted,.49397591,0,
2018,Howard Lake-Waverly-Winsted,.59036142,0,.20481928
2016,Howard Lake-Waverly-Winsted,.43373495,0,.22891566
2017,Hutchinson,.15763547,0,.61083746
2016,Hutchinson,.13300492,0,0
2020,Hutchinson,.18226601,0,.10837439
2013,Hutchinson,.12315271,0,0
2018,Hutchinson,.18226601,0,0
2019,Hutchinson,.16256158,0,.25123152
2012,Hutchinson,.12315271,0,
2014,Hutchinson,.12315271,0,0
2015,Hutchinson,.12315271,0,.10344828
2018,International Falls,1,0,0
2020,International Falls,1,0,0
2017,International Falls,1,0,0
2016,International Falls,.75238097,0,0
2012,International Falls,1,0,
2015,International Falls,.60000002,0,0
2014,International Falls,.60952383,0,.40000001
2013,International Falls,.4952381,0,0
2019,International Falls,1,0,0
2016,Inver Grove Heights,.70857143,.17714286,.5
2018,Inver Grove Heights,.97714287,.59142858,.045714285
2017,Inver Grove Heights,.72857141,.10857143,.57999998
2019,Inver Grove Heights,.96857142,.17714286,.25714287
2020,Inver Grove Heights,.72285712,.96571428,.38285714
2012,Inver Grove Heights,.56,.99714285,
2013,Inver Grove Heights,.73142856,.99714285,.48857144
2014,Inver Grove Heights,.86571431,.74285716,.41714287
2015,Inver Grove Heights,.85714287,.98000002,.32285714
2013,Isle,.64999998,0,0
2015,Isle,.55000001,0,.40000001
2020,Isle,.64999998,0,.40000001
2018,Isle,.5,0,.40000001
2017,Isle,.64999998,0,.40000001
2014,Isle,.75,0,.40000001
2012,Isle,.64999998,0,
2016,Isle,.64999998,0,.40000001
2019,Isle,.5,0,.40000001
2018,Ivanhoe,.14285715,0,.85714287
2013,Ivanhoe,.14285715,0,0
2017,Ivanhoe,.14285715,0,.85714287
2019,Ivanhoe,.14285715,0,.85714287
2014,Ivanhoe,.14285715,0,.85714287
2012,Ivanhoe,.14285715,0,
2016,Ivanhoe,.14285715,0,.85714287
2020,Ivanhoe,.14285715,0,.85714287
2015,Ivanhoe,.14285715,0,.85714287
2016,Jackson County Central,.35576922,.01923077,.36538461
2014,Jackson County Central,.375,0,.60576922
2013,Jackson County Central,.39423078,.009615385,.25961539
2017,Jackson County Central,.38461539,.028846154,.60576922
2019,Jackson County Central,.64423078,.01923077,.34615386
2015,Jackson County Central,.375,0,.60576922
2012,Jackson County Central,.39423078,.01923077,
2020,Jackson County Central,.64423078,0,.60576922
2018,Jackson County Central,.38461539,0,.60576922
2019,Janesville-Waldorf-Pemberton,.95161289,0,0
2015,Janesville-Waldorf-Pemberton,.48387095,0,0
2018,Janesville-Waldorf-Pemberton,.95161289,0,0
2013,Janesville-Waldorf-Pemberton,.12903225,0,0
2014,Janesville-Waldorf-Pemberton,.19354838,0,0
2017,Janesville-Waldorf-Pemberton,.95161289,0,0
2020,Janesville-Waldorf-Pemberton,.95161289,0,0
2012,Janesville-Waldorf-Pemberton,.11290322,0,
2016,Janesville-Waldorf-Pemberton,.90322578,0,0
2017,Jordan,.27559054,.05511811,0
2018,Jordan,.44881889,.039370079,0
2019,Jordan,.62204725,.031496063,0
2014,Jordan,.33070865,.18110237,0
2015,Jordan,.25984251,.41732284,0
2020,Jordan,.60629922,.023622047,0
2016,Jordan,.44881889,.015748031,0
2013,Jordan,.29133859,.46456692,0
2012,Jordan,.34645671,.10236221,
2014,Kasson-Mantorville,.25263157,0,.42105263
2015,Kasson-Mantorville,.25263157,0,.33684212
2020,Kasson-Mantorville,.31578946,0,0
2013,Kasson-Mantorville,.23157895,0,.24210526
2017,Kasson-Mantorville,.30526316,0,0
2018,Kasson-Mantorville,.29473683,0,0
2016,Kasson-Mantorville,.2631579,0,0
2012,Kasson-Mantorville,.23157895,0,
2019,Kasson-Mantorville,.2631579,0,.52631581
2014,Kelliher,.80000001,0,.40000001
2019,Kelliher,.80000001,0,.2
2012,Kelliher,.80000001,0,
2017,Kelliher,.80000001,0,.40000001
2020,Kelliher,.80000001,0,.2
2016,Kelliher,.80000001,0,.40000001
2013,Kelliher,.80000001,0,.2
2015,Kelliher,.80000001,0,.40000001
2018,Kelliher,.80000001,0,.2
2019,Kenyon-Wanamingo,.74576271,0,.18644068
2012,Kenyon-Wanamingo,.74576271,.050847456,
2013,Kenyon-Wanamingo,.76271188,0,0
