year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_adj_supply_any,p75_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p25_totcost_any,p75_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p25_totcost_public,p75_totcost_public,p25_quality_premium,p75_quality_premium,p25_access_index,p75_access_index,p25_share_hr,p75_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2015,20921,16279,Anoka,.27980688,.51862252,.24931757,.24096163,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,-.13625255,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.37866938,.63634729,.15383253,.32713521,.15747429,.29747128,.047014721,.16202217,.0019895537,.040644791,181.68742,208.50055,239.60861,265.16077,237.47369,284.22687,6.5319986,11.883955,1.2848952,1.5047485,-.36131048,.026969366,.15922455,.38389093,87,65,8,79,8,83,13,80,81,77,78,20,42,46,48,5,49,41,10
2016,20921,16279,Anoka,.32844239,.49618739,.24248429,.22012784,.1379052,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,-.1083061,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.37042153,.59993702,.159219,.32120025,.14082621,.27450258,.063064128,.19309288,.0044112233,.048974544,180.44701,214.69644,245.82202,276.85126,246.81914,288.00623,6.6513705,11.067533,1.2270753,1.4794221,-.33509183,.080008581,.20292422,.46205926,87,64,10,78,9,81,16,79,81,65,69,16,47,44,49,7,46,43,11
2017,20921,16279,Anoka,.38090444,.50070536,.25125629,.19989462,.1529417,.049911372,193.84897,260.40433,255.8322,9.9609709,1.3434887,-.074345894,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.37296522,.61393595,.16223034,.33286351,.13456398,.24699773,.080168158,.20624572,.0044289278,.075140908,169.01398,212.19974,246.36186,276.10022,240.53207,284.84045,6.8462391,11.060246,1.2626737,1.4814644,-.32700652,.18554005,.275819,.51462662,87,58,11,80,9,76,14,78,81,46,72,14,52,40,50,10,41,46,13
2018,20921,16279,Anoka,.37084943,.47385463,.25140443,.18887171,.15180382,.033578508,219.2216,286.48306,281.8735,9.8093386,1.3662646,-.088741049,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.34850109,.58293796,.16733338,.32988331,.12604463,.23331335,.081926301,.20636186,.0039345673,.04868345,200.36966,239.96075,268.39014,306.935,268.33527,315.41815,6.626996,11.076544,1.2805959,1.503365,-.29855961,.084396563,.27526194,.50764132,87,60,11,79,5,79,12,77,81,78,76,22,65,40,53,7,41,47,12
2012,2630,2129,Becker,.11719341,.60416424,.015841754,.47226402,0,.11605844,107.08465,346.47665,,36.426556,,.6589036,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.043060802,1.0231338,0,.0071641998,.026061265,.80787385,0,0,0,.20488018,101.47416,122.40601,211.75003,427.73639,,,6.5854053,41.861195,,,-.11448872,1.3480442,0,.20304236,87,41,73,34,44,14,21,38,43,68,,23,,78,3,19,57,36,7
2013,2630,2129,Becker,.25088561,.64036125,.023335047,.50096893,.075674817,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842,.57763433,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.049341805,1.0846506,0,.026724409,.030101098,.87380517,1.0308972e-38,.15859884,0,.20487994,104.5653,123.16586,178.84431,203.26823,131.299,150.36826,6.5853882,30.583393,1.0355884,1.2226942,-.22456245,1.2567054,5.1933722e-07,.35408846,87,39,73,35,12,16,5,8,45,59,14,52,12,78,4,18,56,37,7
2014,2630,2129,Becker,.34472132,.68713516,.04140301,.47532994,.10925473,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044,.66867363,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.028451489,1.1699584,0,.058185648,.012411121,.82239199,4.7958562e-17,.18770307,5.2334231e-30,.3042219,98.966026,123.75545,172.99693,203.15717,131.86386,149.65736,5.4814987,26.611164,1.0532571,1.2445281,-.27807769,1.3278399,.00010158165,.46163914,87,38,66,36,11,11,5,8,42,56,18,66,14,69,6,25,51,40,10
2015,2630,2129,Becker,.2898834,.67100346,.070445463,.44195884,.088227257,.15859917,107.11186,198.14806,154.39323,18.19488,1.2147795,.51791447,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.0076262956,1.2385947,0,.14649795,.0016643445,.7363075,1.0938458e-30,.15897785,2.2586641e-30,.31111982,105.23296,125.13893,174.51288,217.91678,142.13892,162.12144,5.7084198,26.833054,1.1161078,1.2751987,-.47574663,1.3917056,5.3789827e-11,.38654235,87,34,55,36,15,14,10,12,48,62,33,72,25,66,10,24,49,41,10
2016,2630,2129,Becker,.33855525,.5972293,.057008378,.40892953,.1127699,.13129139,110.85967,199.02945,148.94498,31.172316,1.0363114,.48599538,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.0022396848,1.0721155,0,.099133015,.00002746103,.68712968,8.3866751e-25,.2148634,1.1596553e-31,.21454211,112.09037,129.29478,187.07326,209.00511,132.87076,150.13672,5.340601,27.055609,.915681,1.1203425,-.40727654,1.2186801,2.1656335e-07,.47674271,87,41,60,38,16,29,13,18,41,40,18,67,5,68,10,22,46,43,11
2017,2630,2129,Becker,.40194616,.58941388,.067961842,.37553427,.14549866,.14591774,106.99417,422.51248,153.43526,64.438995,1.1462771,.49623951,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.0020812368,1.1078011,0,.11547606,.000023150242,.64054543,3.0436821e-24,.26513246,1.4229401e-31,.2665675,110.1024,127.20775,195.99924,769.72858,132.52676,168.36568,5.3838429,27.055609,1.0097975,1.2719171,-.32001659,1.2977326,.000041459927,.64149171,87,40,58,35,10,24,11,14,42,74,29,75,26,64,12,25,41,46,13
2018,2630,2129,Becker,.39980316,.53452891,.034399264,.36146343,.12088495,.13866618,112.02175,225.55208,163.08945,17.97163,1.258368,.49874473,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.0020096558,.8985942,0,.027817491,.000022497825,.59196544,1.9483833e-29,.24097729,2.2605377e-30,.1844946,113.90356,131.80176,204.66669,239.38693,139.7269,167.98825,5.1060309,26.833584,1.1093208,1.3156354,-.31812209,1.150564,.000061974657,.60947931,87,42,65,39,12,25,8,12,43,62,45,68,54,68,6,26,41,47,12
2012,3547,2230,Beltrami,.18323885,.6230216,.06424699,.34876773,0,.21000685,92.820969,240.04733,,78.102524,,.82348704,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.00089285924,1.2045827,1.0293078e-38,.088759311,0,.5707432,0,0,0,.4282968,70.195396,113.52012,119.92726,170.25005,,,7.2075515,195.94484,,,.0018026233,1.7845292,0,.38790476,87,36,57,59,44,6,7,23,12,44,,60,,56,10,34,57,36,7
2013,3547,2230,Beltrami,.17908217,.63834822,.07567212,.35502797,0,.20764814,100.83675,171.173,249.91817,29.439751,1.9976624,.49334034,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.00041062565,1.288426,0,.11868394,3.4902284e-10,.56965959,0,0,0,.42333949,78.235817,120.30269,135.86116,194.46349,223.44246,277.58145,7.201344,44.138977,1.7978228,2.0623398,-.36733183,1.5703584,0,.38097715,87,40,53,62,70.5,6,16,16,22,52,62,69,62,56,12,33,56,37,7
2014,3547,2230,Beltrami,.25184676,.61563766,.12844019,.36621433,.042230301,.12098314,98.331818,193.54745,200.65683,17.098516,1.619625,.47941348,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.034828156,1.192571,0,.26204348,.00022730716,.59748626,0,.065905564,2.8233199e-19,.19829357,87.393066,120.84879,164.4803,217.33032,175.72195,217.33511,7.1445684,23.708408,1.313547,1.7984154,-.36850798,1.2630613,5.5009597e-16,.41685447,87,47,38,56,35,28,15,19,29,60,46,64,55,59,21,20,51,40,10
