year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_adj_supply_any,p75_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p25_totcost_any,p75_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p25_totcost_public,p75_totcost_public,p25_quality_premium,p75_quality_premium,p25_access_index,p75_access_index,p25_share_hr,p75_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2016,4073,2943,Crow Wing,.18457426,.48171291,.16152732,.26286474,.038771298,.057320826,130.44902,161.80943,150.17511,34.113621,1.0980104,.023178438,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.1421182,.74982542,5.1587229e-16,.27705023,.067668863,.36503538,8.3106670e-34,.055105995,3.2141084e-12,.11352911,119.54533,137.78149,153.84798,165.87108,142.8689,157.33336,6.2969351,20.777884,1.0032901,1.171913,-.45938557,.48672786,.00014404656,.26447237,87,67,21,70,46,64,61,69,66,11,20,70,13,55,34,12,46,43,11
2017,4073,2943,Crow Wing,.27775484,.50508064,.19916497,.24013318,.10557133,.065782502,126.77359,222.9586,206.17529,37.633877,1.5032295,.12078913,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.12889972,.8168112,3.8711139e-16,.33007377,.053228073,.34389544,7.0216989e-28,.20057277,3.2141084e-12,.13094752,117.90564,137.09,155.30554,178.19295,151.35004,162.04172,6.3290868,20.777884,1.0625463,1.2474993,-.508551,.66273874,.001143706,.49246857,87,56,18,69,21,65,41,61,69,32,62,59,65,48,39,13,41,46,13
2018,4073,2943,Crow Wing,.27012366,.50682533,.18980752,.24340874,.10117054,.073609062,131.44342,179.98199,158.22903,15.707529,1.098966,.18375954,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.14028612,.80607468,3.8711139e-16,.3194043,.06400381,.32306781,7.0216989e-28,.18907444,3.2141084e-12,.1573254,118.98918,143.23412,162.7287,195.63361,155.04677,162.3056,6.1944566,20.77931,1.0189086,1.1847655,-.48294792,.72079313,.0011435101,.50071067,87,51,17,65,15,52,39,55,66,22,38,63,33,48,37,15,41,47,12
2012,26474,20503,Dakota,.013450718,.58447027,.27166882,.30531767,0,.0074837701,201.18448,252.81328,,16.425701,,-.28597346,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.4491092,.70777249,.16037075,.36256647,.23488982,.37075239,0,0,1.3004546e-06,.0086909961,181.94072,219.83508,242.85732,264.58368,,,8.1213903,16.346745,,,-.45661312,-.1222586,2.4977953e-06,.015002079,87,43,3,68,44,78,77,83,86,50,,6,,52,46,1,57,36,7
2013,26474,20503,Dakota,.21320046,.57864624,.28499642,.28697112,.11863822,.0066786939,208.02568,257.78079,279.89264,13.687115,1.4599397,-.15718067,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.45544145,.70286578,.17301126,.38994902,.22998777,.34626675,.073100582,.16164692,1.3868015e-06,.0084249591,189.4832,226.35223,248.11568,267.9205,276.0567,290.50748,8.1130762,16.333366,1.3773673,1.5330898,-.28420496,-.020990631,.1567899,.28718701,87,51,2,74,3,79,12,82,86,82,73,12,35,50,49,1,56,37,7
2014,26474,20503,Dakota,.25795382,.58748788,.29372433,.27327374,.1331377,.020489821,207.77759,262.8194,277.50967,8.4182472,1.4344357,-.19056077,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.46533737,.70879793,.18057996,.39450344,.21448061,.32792628,.08336135,.18056218,.0081933821,.02929551,192.13467,224.59615,253.45038,271.10864,259.94485,298.97086,6.2774158,9.6795502,1.3482798,1.5250765,-.34105965,-.025058499,.19483966,.34247079,87,52,5,74,6,83,13,83,86,84,81,8,42,47,50,3,51,40,10
2015,26474,20503,Dakota,.27167511,.55622625,.28909084,.24775954,.13695398,.019375905,214.05338,267.89474,281.75534,8.1702604,1.4119818,-.23539743,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.43208149,.6811282,.18777269,.386323,.19057629,.29394501,.079568461,.18808991,.010405797,.024952054,196.12138,234.7113,254.73952,283.18332,263.0206,303.00107,6.0277553,9.4834499,1.3204061,1.4953867,-.40784669,-.074568659,.19960935,.36442366,87,52,5,75,5,86,14,85,86,82,83,8,53,45,52,3,49,41,10
2016,26474,20503,Dakota,.30244145,.57078898,.3175838,.21939084,.14057571,.033814326,221.06488,276.92398,285.82922,8.0885735,1.3449348,-.20501715,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.4526788,.6943714,.20837942,.43941766,.16730548,.2652663,.077888034,.19657396,.012744895,.033679523,197.73076,247.0517,265.01501,288.87109,267.45297,312.0383,6.2739282,8.9295139,1.2846888,1.4314282,-.38204142,-.055055447,.20734273,.39099532,87,44,3,79,8,80,18,83,86,71,76,7,46,38,56,6,46,43,11
2017,26474,20503,Dakota,.35690385,.58605933,.32962894,.20237076,.15989798,.054082811,214.00789,271.24774,279.53986,7.9889922,1.3166119,-.13933413,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.48013192,.7065891,.21738793,.44402707,.15783291,.24279954,.098619483,.21223456,.017764872,.05751032,187.73122,243.38911,258.34512,285.49146,263.72009,301.04379,6.1940517,8.8034267,1.2535012,1.3832077,-.35256007,.064046532,.27150881,.44815618,87,41,5,79,7,74,20,80,86,53,76,5,48,35,56,9,41,46,13
2018,26474,20503,Dakota,.32168296,.53877854,.33195743,.18490306,.15795676,.021918036,250.8596,306.58765,316.10614,8.3773966,1.3478591,-.24798942,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.41364935,.65951538,.21632585,.44468167,.14015225,.22259475,.093610652,.20942433,.012192941,.030464252,229.67923,275.57651,289.42618,326.25128,293.7529,343.30042,6.2155671,9.0833511,1.2758126,1.4379895,-.41239387,-.083596595,.24712786,.40833354,87,41,5,80,4,86,23,85,86,82,80,12,64,34,62,4,41,47,12
2012,1549,1049,Dodge,.051145177,.69939882,.097266644,.56148678,0,.040645365,122.71103,226.48686,,32.740894,,.63455164,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.18927953,1.2403703,0,.24116609,.18927953,.85761571,0,0,2.5276571e-15,.095860824,115.5268,132.35086,182.99446,284.23917,,,4.3333421,22.194588,,,.036918104,1.2760352,7.9846671e-09,.07953658,87,25,43,21,44,54,55,39,66,37,,19,,80,14,6,57,36,7
2013,1549,1049,Dodge,.051242001,.76128387,.097266644,.62337184,.00020216216,.040645365,123.97514,202.82664,182.80174,16.142454,1.4449574,.17415068,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.25567755,1.3054497,0,.24116609,.22212112,.98050356,0,6.7868272e-10,2.5276571e-15,.095860824,116.97575,133.66765,182.69154,219.91119,153.54799,189.66678,4.3333421,22.194588,1.0674214,1.5945516,-.12733328,.5322414,4.4035522e-11,.073857673,87,24,44,17,42,50,66,54,62,68,31,30,34,82,13,5,56,37,7
2014,1549,1049,Dodge,.076479927,.76701546,.097266644,.59813267,.0002996212,.071616113,121.65401,202.65332,184.08188,11.663922,1.4367172,.13320829,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.24003054,1.3039726,0,.24116609,.24003054,.92948455,0,6.7868272e-10,7.4944332e-08,.13200474,117.93415,129.91367,183.27223,220.24454,157.9471,191.19455,4.1944528,18.111149,1.0976428,1.575322,-.29540297,.53797984,.000034182576,.099922426,87,26,50,17,54,55,83,62,66,64,40,30,44,78,13,9,51,40,10
2015,1549,1049,Dodge,.056919474,.74646246,.10347938,.58069575,.00029962166,.062287316,126.67679,200.78574,189.92998,15.225819,1.4555217,.069337539,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.29916856,1.2841965,1.6057620e-30,.24116609,.28507537,.89878464,0,6.7868272e-10,3.6785382e-28,.13200474,122.18248,131.06769,183.69446,207.77783,163.20718,196.38899,4.9555759,26.166719,1.1205847,1.5324405,-.39377654,.60560209,5.0479089e-26,.10044935,87,25,41,13,59,58,84,67,70,66,59,56,58,78,14,8,49,41,10
2016,1549,1049,Dodge,.054939531,.67474771,.10909022,.51079994,.00029962178,.054857537,133.30499,171.23775,169.69157,28.258066,1.2098835,-.027481087,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.20220537,1.0992064,0,.29776081,.19265476,.80309767,0,6.7868272e-10,3.6785382e-28,.10996614,128.97438,138.05862,152.40741,185.48001,162.22112,175.04156,4.9528675,26.166719,1.0993497,1.3102007,-.49915817,.47696626,1.6801027e-24,.095973149,87,30,40,15,70,66,87,74,67,14,39,62,29,76,16,8,46,43,11
2017,1549,1049,Dodge,.11025581,.62481517,.073893435,.47645375,.00049024867,.07483916,126.29469,242.6577,177.28635,18.202223,1.2477821,-.028476311,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.21619461,1.0050783,0,.1824289,.18277797,.7182951,0,1.2151624e-09,1.3804517e-08,.13200474,117.18105,132.93144,188.99446,325.07251,165.00717,175.58339,4.1944528,18.722258,1.0803585,1.3370582,-.42572296,.38537839,.000025867321,.13107941,87,33,54,13,75,60,84,75,67,41,46,32,42,76,12,12,41,46,13
2018,1549,1049,Dodge,.12348222,.58583391,.073702559,.43730795,.0075505776,.074823365,131.62941,216.61714,184.76245,11.711975,1.270618,.029065313,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.21225072,.91116136,0,.18240257,.17205539,.63841045,1.5437424e-30,2.2150590e-07,1.3804517e-08,.13200474,118.84887,141.22,196.39667,226.43341,167.0834,198.77783,4.1944528,18.722258,1.0994884,1.4166373,-.32957163,.38480225,.035069175,.15624569,87,32,53,17,73,51,81,70,67,55,60,37,57,75,13,13,41,47,12
2012,2266,1906,Douglas,.065424994,.88188052,.10932368,.70513231,0,.06742458,108.57047,184.70061,,33.915031,,1.0181195,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.52244204,1.2165254,6.0837618e-28,.20779069,.43767181,.88451505,0,0,4.2788466e-09,.098835997,103.41948,116.2337,146.60156,175.52618,,,8.8889074,19.333372,,,.54656935,1.5098404,2.4351204e-08,.10445818,87,7,35,3,44,36,48,11,49,13,,22,,80,12,8,57,36,7
2013,2266,1906,Douglas,.10331084,1.0081204,.13698055,.75064868,0,.12049124,108.37953,168.30861,202.46678,14.834942,1.6959232,.54418713,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.62872952,1.3742088,6.0837638e-28,.26756096,.46035826,.99427247,0,0,8.6069470e-08,.21756814,103.08404,117.11449,153.16859,185.18974,195.67796,207.84465,6.6686039,18.444481,1.5339415,1.8285418,.11032815,.99387527,1.0951845e-07,.16851737,87,4,29,3,70.5,14,39,10,37,47,40,19,51,74,14,12,56,37,7
2014,2266,1906,Douglas,.10561033,1.0046021,.1344023,.76020467,.010267626,.10999504,110.80444,169.0584,144.59427,13.470632,1.2218937,.43284017,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.64453673,1.3381937,1.4248031e-22,.26496175,.51742011,1.0262216,3.5732849e-23,.011973555,1.4336141e-06,.035812493,107.13532,124.23782,153.2359,178.8056,135.77779,153.33337,7.2232547,17.092083,1.0681832,1.3224144,.018437447,.65638775,.00056911504,.044371612,87,3,36,1,49,35,71,26,52,39,19,45,22,76,13,11,51,40,10
2015,2266,1906,Douglas,.11263298,.8705768,.10984238,.66691345,.015031533,.093820922,112.20073,171.42963,138.78117,13.429749,1.1554925,.35758856,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.54274607,1.1551636,2.5517524e-23,.2000967,.42477879,.84781027,1.9213081e-11,.01217876,1.1599850e-06,.03496315,107.05109,127.72394,158.13824,183.27785,134.02779,143.41669,7.0833473,17.583368,1.0365613,1.2613041,-.044337962,.5405829,.0019926378,.058508098,87,8,37,4,53,39,74,36,54,39,20,47,17,77,13,11,49,41,10
2016,2266,1906,Douglas,.085909635,.84653705,.12283695,.64259213,.015727509,.081107974,122.8379,210.26195,201.61554,25.299181,1.5561066,.23658875,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.5660885,1.1091774,1.2379277e-22,.24117176,.40601391,.81971788,3.9836140e-16,.015445762,9.8322903e-07,.034111742,121.67674,137.26273,176.4543,210.18318,158.04868,221.0278,7.0833473,17.583368,1.2283288,1.7264299,-.11531195,.4805918,.0004960362,.061827179,87,7,36,3,65,49,84,49,51,49,54,58,59,76,15,10,46,43,11
2017,2266,1906,Douglas,.22423515,.78826123,.14434101,.54031777,.11476848,.10360244,117.51263,226.55362,163.34949,26.154984,1.3214196,.34592375,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.45477334,1.0200624,1.4826039e-22,.28326595,.31789288,.66788989,.00011848476,.19255173,.0000482412,.036021087,109.17013,133.94025,160.49394,190.11934,159.10771,176.94318,6.6672311,15.305586,1.2659173,1.4188582,-.16722943,.74229485,.027987868,.34975696,87,9,31,6,17,43,59,30,56,34,33,45,49,69,18,13,41,46,13
2018,2266,1906,Douglas,.17964502,.68932438,.12581925,.50456297,.09735851,.058942165,129.41182,184.58745,185.10089,12.894831,1.4132411,.22260107,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,.35828882,.91764551,2.5493475e-33,.2413383,.30379245,.63523442,2.4871684e-07,.17939283,.000014562494,.029889019,123.4303,144.47502,173.92683,193.40155,179.39023,204.32068,6.4722352,15.666698,1.3324388,1.5586932,-.20428626,.6090129,.0067199301,.32422286,87,15,35,9,17,65,68,49,63,27,61,43,72,73,18,9,41,47,12
2012,699,552,Faribault,.099696241,.60214019,.12311078,.37890011,0,.10012928,101.35226,151.75731,,69.98764,,.71212548,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,1.4617056e-10,1.0753945,0,.3539094,1.4616490e-10,.86052978,0,0,0,.11498164,77.790184,117.67036,129.3389,203.4446,,,3.1111174,137.95862,,,-.24444228,1.3265765,0,.11597376,87,42,27,49,44,21,29,33,36,4,,52,,63,20,17,57,36,7
2013,699,552,Faribault,.09947475,.6093694,.12311078,.38612935,0,.10012928,98.928154,132.87895,237.37599,19.693449,2.157752,.32641906,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,2.9607568e-08,1.1446977,0,.3539094,2.8314600e-08,.55418777,0,0,0,.11498164,81.211884,113.86114,114.93222,155.3027,205.77797,260.33362,3.1111174,30.805618,2.0054712,2.3440359,-.3572078,.79579812,0,.10947496,87,45,31,52,70.5,22,41,31,18,15,57,47,72,63,20,16,56,37,7
