year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2015,56A,.40353698,1,.51768488
2015,56B,.41760722,1,.55079007
2014,56B,.39277652,1,.48758465
2016,56B,.4604966,1,.4650113
2012,56B,.32731378,1,
2013,56B,.34988713,1,.50790066
2017,56B,.44469526,1,.50564337
2018,56B,.49435666,1,.41986457
2013,57A,.18138042,.99197429,.73354733
2015,57A,.20385233,.9903692,.40288925
2016,57A,.08025682,.9951846,.317817
2017,57A,.094703048,.9727127,.64365971
2014,57A,.23113964,.99357945,.56982344
2018,57A,.19261637,1,.59711075
2012,57A,.14446227,.99357945,
2015,57B,.72370768,1,.30303031
2014,57B,.77540106,1,.36541888
2016,57B,.5775401,1,.27272728
2018,57B,.58645278,1,.35650623
2013,57B,.67379677,1,.54367203
2012,57B,.55971479,1,
2017,57B,.59180033,1,.26737967
2012,58A,.58082706,1,
2016,58A,.46804512,.99812031,.50375938
2014,58A,.77067667,.99812031,.56390977
2015,58A,.75,.99624062,.5413534
2018,58A,.39849624,.99812031,.43421054
2013,58A,.66541356,1,.77631581
2017,58A,.41917294,.97744364,.43609023
2014,58B,.66328257,.4433164,.0033840947
2012,58B,.65482235,.43654823,
2016,58B,.66835874,.26734349,.059221659
2015,58B,.8849408,.39763114,.0016920473
2018,58B,.92893404,.46531302,.0016920473
2013,58B,.69712353,.42808798,.0033840947
2017,58B,.58206427,.28257191,.29103214
2017,59A,.91171479,1,.35823429
2014,59A,.99660444,1,.29881155
2015,59A,.98132426,1,.37521222
2016,59A,.901528,1,.40577251
2018,59A,.78268254,1,.69779289
2013,59A,.99660444,1,.44142616
2012,59A,.99660444,1,
2012,59B,.4556962,1,
2018,59B,.025316456,1,1
2017,59B,.16455697,1,1
2014,59B,.44092828,1,.99156117
2016,59B,.14556962,1,1
2015,59B,.47257385,1,1
2013,59B,.32700422,1,1
2014,5A,.4497717,.006849315,.48401827
2016,5A,.45662099,0,.47488585
2018,5A,.47031963,0,.46575344
2015,5A,.4520548,0,.42237443
2012,5A,.41552511,.0045662099,
2013,5A,.43607306,0,.50456619
2017,5A,.45433789,0,.50684929
2016,5B,.58494622,.0021505377,.46451613
2013,5B,.60215056,0,.38279569
2015,5B,.52903223,.0064516128,.51182795
2018,5B,.6408602,0,.46021506
2012,5B,.60000002,.0043010754,
2014,5B,.55483872,.045161292,.51827955
2017,5B,.63440859,.017204301,.45161289
2016,60A,.5754717,1,.66792452
2017,60A,.45471698,1,.6226415
2012,60A,.97547168,1,
2014,60A,.77169812,1,.37547171
2015,60A,.77169812,1,.5679245
2018,60A,.48490566,1,.83018869
2013,60A,.90943396,1,.43962264
2018,60B,0,1,1
2015,60B,.0047169812,1,1
2017,60B,0,1,1
2014,60B,.0047169812,1,1
2012,60B,.4481132,1,
2013,60B,.11320755,1,1
2016,60B,0,1,1
2015,61A,.74918568,1,.48208469
2018,61A,.61237782,1,.49837133
2013,61A,.80456024,1,.60260588
2012,61A,.86644953,1,
2016,61A,.65146577,1,.44299674
2014,61A,.76221496,1,.44951141
2017,61A,.63517916,1,.51465797
2012,61B,.93839836,1,
2014,61B,.8788501,1,.37371662
2013,61B,.98562628,1,.28542095
2018,61B,.8459959,1,.85420942
2016,61B,.9117043,1,.42094457
2017,61B,.88501024,1,.43737167
2015,61B,.93018478,1,.48254621
2012,62A,.13995485,1,
2013,62A,.03160271,1,.99548531
2017,62A,.0045146728,1,.99548531
2015,62A,.0045146728,1,.99548531
2018,62A,.0022573364,1,1
2016,62A,.0045146728,1,.99548531
2014,62A,.0067720092,1,.99548531
2016,62B,.34651163,1,.57209301
2012,62B,.67441863,1,
2018,62B,.062790699,1,1
2014,62B,.44883722,1,.37674418
2013,62B,.77906978,1,.27906978
2015,62B,.41860464,1,.52790695
2017,62B,.26279071,1,.59534883
2016,63A,.10250569,1,.61047834
2018,63A,.14578588,1,.79498863
2017,63A,.063781321,1,.65148062
2015,63A,.38496584,1,.56947607
2013,63A,.69248289,1,.38952163
2012,63A,.8473804,1,
2014,63A,.48747152,1,.44646925
2017,63B,.89007092,1,.15070923
2014,63B,.91666669,1,.11879433
2013,63B,.98226953,1,.090425529
2012,63B,.98758864,1,
2018,63B,.91843975,1,.21808511
2015,63B,.93794328,1,.18085106
2016,63B,.92021275,1,.18971631
2018,64A,.35494882,1,.76109213
2013,64A,.23890784,1,.9351536
2012,64A,.41979522,1,
2014,64A,.33788395,1,.87372011
2016,64A,.15699659,1,.88054609
2017,64A,.15017065,1,.8976109
2015,64A,.22866894,1,.90443689
2018,64B,.85245901,1,.21077283
2015,64B,.70023417,1,.30679157
2013,64B,.90398127,1,.16627635
2016,64B,.72365338,1,.58548009
2017,64B,.51288056,1,.57611239
2014,64B,.91100705,1,.14519906
2012,64B,.90163934,1,
2012,65A,.46563575,.91237116,
2013,65A,.18900344,1,1
2017,65A,.19759451,.87800688,.96048111
2014,65A,.46735394,.98453611,.96219933
2016,65A,.28006873,.82989693,.98281789
2018,65A,.45876288,1,.82989693
2015,65A,.34707904,.95532644,.96563572
2017,65B,.75352114,.77464789,.91079813
2015,65B,.91549295,.89671361,.94366199
2013,65B,.85680753,.95070422,.96009392
2016,65B,.87558687,.68544602,.95070422
2014,65B,.92253524,.90845072,.81924886
2018,65B,.98356807,1,.52347416
2012,65B,.88967139,.68075114,
2017,66A,.76790124,.95308644,.69876546
2013,66A,.76543212,1,.67160493
2012,66A,.74074072,1,
2015,66A,.81481481,.99753088,.57530862
2014,66A,.8888889,1,.093827158
2018,66A,.87160492,1,.63209879
2016,66A,.83209878,.95308644,.68148148
2013,66B,.97266883,.57877815,.33762059
2012,66B,1,.48070741,
2016,66B,.97266883,.18006431,.39549839
2018,66B,1,1,.15594855
2017,66B,.95337623,.18006431,.3585209
2014,66B,.99678457,.53697747,.13504823
2015,66B,.98874599,.44533762,.25241157
2015,67A,.99165505,.85257304,.30598053
2013,67A,1,.85396385,.15438108
2017,67A,1,.60917944,.31571627
2014,67A,.99721837,.8581363,.13351877
2018,67A,1,.99443674,.031988874
2016,67A,1,.51182199,.59109873
2012,67A,.99860919,.8358832,
2016,67B,.98003072,.9938556,.85714287
2017,67B,.96774191,1,.6436252
2013,67B,.94316435,.95084482,.91858679
2014,67B,.94009215,.98003072,.69892472
2012,67B,.91858679,.73579109,
2018,67B,.9938556,1,.16897081
2015,67B,.96159756,.99539173,.89093703
2017,6A,.83488375,.046511628,.48372093
2012,6A,.78139538,.020930232,
2015,6A,.61162794,.0069767442,.29534882
2016,6A,.83953488,.051162791,.54883718
2014,6A,.44186047,.0093023255,.5767442
2018,6A,.69999999,.0023255814,.47441861
2013,6A,.62790698,.0093023255,.61395347
2017,6B,.63317758,.004672897,.36915886
2012,6B,.60280377,0,
2016,6B,.57009345,.018691588,.39018691
2018,6B,.63785046,.0023364485,.36682242
2015,6B,.55607474,0,.43457943
2014,6B,.55140185,.01635514,.49766356
2013,6B,.56074768,.01635514,.47429907
2012,7A,.56182796,0,
2016,7A,.5672043,.22043011,0
2013,7A,.56182796,0,.024193548
2018,7A,.6075269,.11290322,0
2015,7A,.50268817,0,0
2017,7A,.52688169,0,.15053764
2014,7A,.52956986,0,0
2018,7B,.51673639,.0020920502,.34309623
2014,7B,.34518829,0,.60878658
2012,7B,.22594142,0,
2015,7B,.4539749,0,.48535565
2013,7B,.28451884,0,.67782426
2017,7B,.49790794,0,.55230123
2016,7B,.52928871,.0041841003,.016736401
2014,8A,.44301075,0,.26021504
2015,8A,.55913979,0,.13763441
2018,8A,.57849461,0,.24086021
2012,8A,.56129032,0,
2013,8A,.53118277,0,.12903225
2016,8A,.57634407,0,.13978495
2017,8A,.63870966,0,.13978495
2017,8B,.49377593,.0082987556,.28630707
2014,8B,.35477179,0,.17842324
2012,8B,.3900415,0,
2015,8B,.42116183,0,.12240664
2018,8B,.51037347,.0062240665,.26763487
2013,8B,.36721992,0,.3900415
2016,8B,.39834026,.0082987556,.14107884
2012,9A,.765625,.0078125,
2013,9A,.69921875,.001953125,.22265625
2014,9A,.65039063,.00390625,.30664063
2016,9A,.61914063,.005859375,.265625
2017,9A,.640625,.0234375,.26757813
2018,9A,.66601563,.009765625,.28125
2015,9A,.6328125,.001953125,.29101563
2018,9B,.62725449,0,.30260521
2015,9B,.62124246,.002004008,.41082165
2016,9B,.58517033,.002004008,.36472946
2012,9B,.61523044,0,
2013,9B,.59318638,0,.18837675
2017,9B,.58116233,.002004008,.30260521
2014,9B,.57515031,0,.30460921
