year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2016,20B,.56234717,.19315404,.06845966
2018,20B,.50366747,.036674816,.073349632
2013,20B,.49144253,0,.09535452
2012,20B,.47677261,.070904642,
2017,20B,.55256724,.080684595,.1002445
2015,20B,.50855744,.073349632,.070904642
2015,21A,.44444445,.007751938,.27390182
2018,21A,.40826872,.025839793,.39018089
2012,21A,.34625322,.010335918,
2014,21A,.39793283,.010335918,.10594315
2017,21A,.46253231,.07751938,.39018089
2013,21A,.374677,0,.054263566
2016,21A,.42635658,.007751938,.45736435
2013,21B,.44725737,.0021097045,.035864979
2018,21B,.48734176,0,.28902954
2015,21B,.42194092,.0021097045,.1329114
2014,21B,.46835443,.0063291141,.16244726
2012,21B,.43459916,.014767933,
2016,21B,.48101267,.0042194091,.20886075
2017,21B,.52531648,.0021097045,.18354431
2013,22A,.36247334,0,.0021321962
2015,22A,.36247334,0,.23880596
2012,22A,.3944563,0,
2018,22A,.37953091,.0042643924,.17484009
2014,22A,.34754798,0,.27505329
2016,22A,.35607675,.0042643924,.36886993
2017,22A,.36034116,0,.44776121
2014,22B,.65248227,0,.18971631
2015,22B,.61879432,0,.17021276
2016,22B,.67907804,0,.18085106
2012,22B,.64716309,0,
2013,22B,.64539009,0,.088652484
2017,22B,.66134751,0,.25354609
2018,22B,.67021275,0,.25
2017,23A,.39024389,.0097560976,.26341462
2018,23A,.38292682,0,.28536585
2014,23A,.40487805,0,.24146341
2016,23A,.38536584,.0073170732,.25365853
2015,23A,.40487805,.0024390244,.24390244
2013,23A,.41707316,.0024390244,.13414635
2012,23A,.39512196,.0048780488,
2018,23B,.66666669,0,.13502109
2017,23B,.46202531,.016877636,.28270042
2012,23B,.32489452,.0084388182,
2015,23B,.57172996,.012658228,.44303799
2014,23B,.59282702,.025316456,.16455697
2016,23B,.65822786,.052742615,.27426159
2013,23B,.35232067,.027426161,.014767933
2013,24A,.15800001,0,.51800001
2018,24A,.41,.0040000002,.41800001
2012,24A,.1,0,
2014,24A,.31400001,.0040000002,.47999999
2015,24A,.31999999,.0040000002,.48199999
2017,24A,.472,.0040000002,.37200001
2016,24A,.42399999,.0040000002,.32800001
2016,24B,.88414633,.0040650405,.091463417
2017,24B,.88821137,.0020325202,.11178862
2013,24B,.86178863,0,0
2012,24B,.82723576,.016260162,
2018,24B,.8800813,.0020325202,.28048781
2015,24B,.85772359,.0060975607,.067073174
2014,24B,.87804878,0,.091463417
2013,25A,.36678201,.28027681,.21107267
2017,25A,.29757786,.48615918,.23356402
2014,25A,.35986158,.41176471,.34256056
